Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00054956	-23.61051178	0
0.00054857	-23.36905055	-8.68458E-05
0.000548179	-24.33560388	0.000470784
0.000547855	-19.05325299	0.000647036
0.000548804	-20.62020504	0.001212582
0.000549024	-18.59559642	0.001479173
0.000549066	-18.24255916	0.001665438
0.000550074	-19.102498	0.001081731
0.000550329	-17.41023841	0.000763917
0.000549731	-19.9966005	0.000632135
0.000548673	-23.34577003	0.000679633
0.000548058	-24.66214988	0.000696164
0.000548385	-27.33266441	0.000735745
0.000547564	-28.7671901	0.000709901
0.000547846	-30.62867685	0.000272412
0.000547503	-32.24638655	0.000482658
0.000547822	-33.26501338	0.000283355
0.000548627	-35.117362	0.00079372
0.000547419	-36.592792	0.000422122
0.000547968	-37.68527791	0.000380212
0.000547662	-39.20231539	0.000741798
0.000547991	-40.57558309	0.000597909
0.000548632	-40.52680263	0.000668224
0.000548978	-40.87133973	0.000220956
0.000548157	-42.51430612	0.000360422
0.000547194	-43.32555967	1.74623E-05
0.000548355	-44.14550752	0.000207452
0.000547718	-44.98465509	3.58559E-05
0.00054812	-46.02287458	5.09899E-05
0.000548623	-47.04518367	-9.31323E-05
0.000549008	-48.11010911	0.000184402
0.000548292	-48.86065676	5.28526E-05
0.000547985	-50.04809137	0.00076904
0.000547861	-51.28874473	0.000119675
0.000548764	-52.22647802	0.000518048
0.000548499	-53.47509304	0.000440748
0.000548319	-54.69786154	0.000108732
0.000548808	-56.09372284	0.000532717
0.000549189	-56.67649244	-3.25963E-05
0.00054885	-57.50108096	0.000325497
0.000547156	-59.29379817	2.72412E-05
0.000548337	-60.47552009	2.77068E-05
0.000548358	-61.0792778	0.00020978
0.00054774	-62.79558433	-5.65778E-05
0.000547918	-63.65098842	0.000304542
0.000547496	-64.71261171	-0.000228407
0.000549077	-66.36887765	0.000525266
0.000547457	-66.74156886	-0.000155065
0.000547896	-67.76082135	-0.000305241
0.000548251	-69.30459255	-0.000117114
0.000548358	-70.94554371	5.4948E-05
0.0005471	-71.51812905	0.000228174
0.000547276	-73.12444086	-0.000403496
0.000547289	-74.13752908	0.000526197
0.000548348	-75.03579701	5.09899E-05
0.00054736	-76.55430872	-1.55997E-05
0.000547755	-77.01061378	0.000201631
0.000549169	-78.54521275	3.9814E-05
0.000549214	-79.7058035	6.17001E-05
0.000549051	-80.40360859	-0.00010943
0.000547606	-82.08761733	-0.000266824
0.000548004	-83.13866045	-0.000247732
0.000548574	-84.28761151	-9.15024E-05
0.000548876	-84.91016847	-0.000298256
0.000548409	-86.5846785	4.70318E-05
0.000549299	-87.42814724	-0.000129221
0.000548261	-88.74148445	-0.000321772
0.000547391	-89.68634918	-0.000406522
0.000547572	-91.42568437	-0.000181375
0.000546853	-92.27673168	-0.000678701
0.00054785	-93.43630133	-0.000570435
0.000548375	-94.53533062	-0.000124797
0.000548848	-95.59976739	0.000163447
0.000548402	-96.71681504	-0.000367174
0.000547972	-97.77404743	-7.567E-05
0.000547857	-99.06763764	-0.000203494
0.000548138	-100.1181588	-0.000322238
0.000547858	-101.6879874	-0.000244472
0.000547443	-103.0495076	-0.000488479
0.000547347	-104.020756	-0.000820961
0.000548634	-105.26116	-0.000282191
0.000548149	-105.8932762	-0.00040303
0.000548284	-107.1016909	-0.000356231
0.000547884	-108.4158745	-0.000355998
0.000548168	-109.3896986	-0.000411179
0.000546453	-111.1907411	-0.000535743
0.000547921	-112.0915423	-0.000314321
0.000548259	-113.2445813	-0.000828411
0.000548371	-114.4929091	-0.000384171
0.000547897	-115.8674807	-0.000104541
0.000548688	-116.4143553	-0.000390224
0.000548691	-118.1123578	-0.00064075
0.000548877	-119.3219409	-0.000809552
0.000547119	-120.5315457	-0.000712462
0.000547668	-122.3618638	-0.000161584
0.000547429	-122.8282963	-0.000467291
0.000547691	-124.4296552	-0.000726432
0.000547114	-125.1812401	-0.000390224
0.000547917	-126.6887696	0.000104308
0.000548062	-127.9053255	-0.000235392
0.000548323	-128.9974009	-0.000464031
0.00054899	-130.1274876	-0.000573928
0.000548005	-131.2849434	0.000204658
0.000547674	-132.314326	0.000232598
0.000548304	-133.1180621	-0.000293832
0.000547892	-133.6964239	-8.21892E-05
0.000547474	-134.5325681	-0.000455882
0.000548506	-135.6173785	-0.00060536
0.000545857	-136.8169365	-0.000464497
0.000547825	-137.7891638	-0.000428408
0.000547816	-139.1153967	-0.000251923
0.000547866	-140.3822684	-0.000161584
0.000548682	-141.7533986	-6.47269E-05
0.000549191	-142.3310712	-0.000278465
0.000548227	-143.6562282	-0.000488712
0.000548213	-144.5722113	-0.000467291
0.000548553	-145.8347185	-0.000391854
0.000548974	-146.9814496	-0.000206055
0.000547861	-147.908383	-0.000278233
0.000547459	-149.3725503	-0.000471948
0.000547391	-150.5181023	-0.000842148
0.000547248	-151.9538664	-0.000745524
0.000548925	-152.7326087	0.000290573
0.000549196	-153.5383075	-0.000182772
0.000547668	-154.5798553	-0.000739237
0.00054805	-155.8500744	-0.0002163
0.000547946	-156.9604794	-0.000258675
0.000549663	-157.8209163	-0.000487547
0.000548508	-158.7352931	-0.000888482
0.000548453	-160.0888328	-0.000839122
0.000548488	-161.6935267	-0.000383239
0.000549098	-162.4439163	7.17118E-05
0.000549199	-163.4172881	-0.000406755
0.000548592	-164.4569483	-0.000721775
0.000548395	-165.7308466	-0.00061118
0.000548119	-166.2116635	-0.000479165
0.000549437	-167.4214322	-0.000626314
0.000548672	-168.3144767	-0.000455417
0.000546966	-169.7851021	-0.000461238
0.0005488	-170.6816147	-0.00042934
0.000547835	-171.922622	-0.000495231
0.000548626	-173.1557011	-0.000562519
0.000547505	-174.2657396	-0.000310829
0.000547797	-174.9542822	-0.000298256
0.000549001	-176.2374425	-0.000258908
0.000547967	-177.3409088	-0.000257278
0.00054717	-178.4170159	-0.000797212
0.000548435	-179.7862627	-0.000341795
0.000548791	-180.8678254	-0.000207219
0.000548049	-182.2743679	-0.000529224
0.000547848	-183.061952	-0.000654254
0.000548162	-184.3637902	-0.000676373
0.000548736	-184.9771944	-0.000648201
0.000547184	-188.351137	-0.000672415
0.000543824	-193.2964457	-0.000107335
0.000540045	-201.3706434	-0.000160653
0.000535451	-203.6237102	0.000110362
0.000531266	-206.2052288	-0.000471948
0.000527987	-208.5361002	-0.000152271
0.000523614	-210.7859683	-0.000139931
0.000521318	-212.9252764	-0.000125961
0.000516996	-215.1927319	-4.49363E-05
0.000512795	-217.2647691	-0.000152737
0.000511412	-219.6311169	-0.000474509
0.000506983	-221.7716431	2.37487E-05
0.000504068	-223.9958109	0.00034296
0.000500239	-226.0951218	-0.000358326
0.000495723	-228.4367699	-1.44355E-05
0.000491361	-230.8510735	3.58559E-05
0.000488035	-233.0307916	3.21306E-05
0.000484772	-235.5763593	-8.2422E-05
0.000480391	-237.5158839	-3.51574E-05
0.000477723	-239.9781743	0.000240747
0.000473684	-242.275935	-0.000252156
0.000468846	-244.7290284	-0.00075018
0.000465052	-247.1231587	-0.000447035
0.000461905	-249.5930914	7.93952E-05
0.000458595	-251.9475808	-0.000315253
0.000454384	-254.2816228	0.000296626
0.000451119	-256.4531358	4.2608E-05
0.000447387	-258.3966858	-1.86265E-06
0.000444207	-260.6485758	-0.000100117
0.000439925	-262.5792662	-0.000142027
0.000437268	-264.7028251	0.000239816
0.000432447	-267.048112	-0.000312692
0.000429697	-269.1163586	-1.16415E-06
0.000425183	-271.3015246	-0.000471482
0.000422276	-273.7005519	-0.000252156
0.000418059	-275.7784736	4.07454E-05
0.00041372	-277.7713397	-8.28877E-05
0.000411348	-280.2773588	-0.000113854
0.000406665	-282.3982665	0
0.000404428	-284.3685468	-0.000195112
0.0003996	-286.9080888	-0.000594184
0.000395281	-289.2169637	-0.000201864
0.000392459	-291.0293227	0.000132481
0.000388995	-293.1743552	-0.000244007
0.000385966	-295.5755675	3.0268E-06
0.000381904	-297.522026	-3.18978E-05
0.000377014	-300.1104197	-1.234E-05
0.00037391	-301.7784185	8.35862E-05
0.000369894	-303.9945505	-0.000420026
0.000366691	-306.1894972	4.37722E-05
0.000361426	-308.3302373	-0.0002163
0.000358996	-310.3496495	-0.00063586
0.000356042	-312.5330018	-0.000910135
0.000351884	-314.481149	-0.000436557
0.000348577	-316.674242	0.000315951
0.000344632	-318.8285504	-0.00045076
0.000341638	-321.0514474	-0.000135973
0.000337855	-322.805077	-0.000181142
0.000333072	-325.1087622	-0.000270084
0.000329389	-326.9388373	-0.000283122
0.000325762	-329.1221321	0.000136439
0.000322147	-331.6164422	-0.000474043
0.000318897	-333.5145851	0.000235857
0.000314764	-335.6427348	-0.000420725
0.000310869	-337.9410275	-4.65661E-05
0.000308003	-339.876048	-0.00036438
0.000303535	-342.0848712	-0.000306871
