Rotation	Base moment [kN.m]	Axial Disp. [mm]
4.75351E-05	-36.92568592	-1.044774312
4.76827E-05	-36.99030269	-1.046773861
4.72706E-05	-37.03692604	-1.050020684
4.81036E-05	-37.008374	-1.053139684
4.66988E-05	-37.05320968	-1.056720386
4.79408E-05	-37.08305539	-1.059556263
4.78519E-05	-37.17533278	-1.061915071
4.81241E-05	-37.20317003	-1.065281453
4.78605E-05	-37.22851171	-1.068312093
4.71242E-05	-37.18097704	-1.071637147
4.7592E-05	-37.18776615	-1.074770582
4.80975E-05	-37.18557362	-1.076851389
4.82208E-05	-37.25430183	-1.080774935
5.00952E-05	-37.32126227	-1.084195217
4.75841E-05	-37.32780333	-1.086772769
4.76856E-05	-37.34645941	-1.089439727
4.7906E-05	-37.33701925	-1.092991908
4.86338E-05	-37.40875411	-1.096271444
4.71173E-05	-37.40937934	-1.099202549
4.77465E-05	-37.41630338	-1.102445764
4.71157E-05	-37.42778166	-1.104986062
4.75323E-05	-37.48629642	-1.108054304
4.85655E-05	-37.52881933	-1.111782622
4.82225E-05	-37.56892355	-1.114282641
4.69797E-05	-37.59921652	-1.117280568
4.7743E-05	-37.65237242	-1.12016534
4.757E-05	-37.63477119	-1.123775379
4.84032E-05	-37.62697671	-1.126805786
4.75213E-05	-37.64721483	-1.129772398
4.68927E-05	-37.68062311	-1.133095007
4.81409E-05	-37.69276929	-1.13578781
4.7755E-05	-37.70144341	-1.139610889
4.69552E-05	-37.71711192	-1.141970512
4.80099E-05	-37.72416229	-1.145756454
4.75164E-05	-37.73567433	-1.148727257
4.78334E-05	-37.76169739	-1.151771285
4.79903E-05	-37.74820771	-1.154780854
4.77733E-05	-37.74601475	-1.158266561
4.71926E-05	-37.75357669	-1.161583466
4.88994E-05	-37.79765915	-1.164264278
4.75016E-05	-37.76854226	-1.167226583
4.80564E-05	-37.7770985	-1.170773292
4.65184E-05	-37.82203189	-1.173132798
4.79577E-05	-37.83531764	-1.17678137
4.80371E-05	-37.79611546	-1.179283019
4.7726E-05	-37.75587952	-1.182773151
4.79103E-05	-37.78117514	-1.18512474
4.74468E-05	-37.84050679	-1.188298804
4.78212E-05	-37.84967552	-1.191407908
4.77505E-05	-37.86671671	-1.194774755
4.77725E-05	-37.86181069	-1.197837177
4.68552E-05	-37.88192219	-1.200906816
4.68511E-05	-37.85821986	-1.20377331
4.68831E-05	-37.83786483	-1.207398716
4.8104E-05	-37.81336278	-1.210194547
4.69405E-05	-37.81123748	-1.21366349
4.79943E-05	-37.81008614	-1.215787954
4.74026E-05	-37.87370051	-1.219771337
4.76383E-05	-37.91657822	-1.222240156
4.75165E-05	-37.87777527	-1.225772547
4.67439E-05	-37.81485086	-1.228762092
4.7103E-05	-37.8359145	-1.231783303
4.73614E-05	-37.90777724	-1.234967727
4.84062E-05	-37.94144722	-1.238461118
4.7685E-05	-37.87531264	-1.241147169
4.74113E-05	-37.82720916	-1.243983977
4.75091E-05	-37.81057521	-1.247726148
4.88096E-05	-37.80112185	-1.250468544
4.69887E-05	-37.75070998	-1.254060888
4.75634E-05	-36.80948219	-1.256772666
4.72547E-05	-35.98689605	-1.260280376
4.74E-05	-35.10440818	-1.263772487
4.72375E-05	-34.87278564	-1.267397311
