Rotation	Top moment [kN.m]
5.92445598905259e-07	-918.502221334751
8.49367988083576e-08	-918.448737160998
-8.87075476329525e-08	-915.767575371836
1.18102361589885e-08	-918.492992373179
4.15978337993428e-07	-918.409691879089
-2.49182444394332e-07	-915.722018711023
6.28446040108851e-07	-918.511966906706
-2.22278437967960e-07	-915.774443700180
8.87762269006360e-08	-918.452673626186
-2.72520330889831e-07	-915.736069321425
-6.50405256576377e-07	-915.708840523960
-1.07970387104583e-06	-915.745825397697
-7.74207521502649e-08	-915.731640436703
-9.20431700376253e-07	-915.668754848233
1.16189784476301e-06	-918.420529063521
2.23662166700022e-06	-918.430206640786
-7.34363299692229e-08	-915.754202615068
5.75391904107129e-06	-917.635679081822
1.00926333113276e-05	-915.527332816486
1.57728605913894e-05	-913.470206071908
2.16802319335207e-05	-911.481591006877
2.69577014968978e-05	-909.454944625766
3.29149279379564e-05	-907.505384754134
3.65515355535333e-05	-905.538572454679
4.12172163563856e-05	-903.493490019521
4.75823341987913e-05	-901.466934711761
5.29219209113417e-05	-899.472920233805
5.79696611835898e-05	-897.515057749854
6.11067065349329e-05	-895.448460231865
6.78651310885571e-05	-893.420211750314
7.38413889886121e-05	-891.363956533293
7.94642408599199e-05	-889.396670231919
8.48241452680475e-05	-887.358712685826
8.99059089395917e-05	-885.313269102044
9.48580716994879e-05	-883.196338546771
0.000100079752287845	-881.163942109121
0.000105092862338736	-879.226040225349
0.000109485470236554	-877.263383518723
0.000114805732996392	-875.266787095333
0.000120055411802828	-873.316278724402
0.000126278898644762	-871.346557728461
0.000132187727583679	-869.414049086961
0.000136057886629055	-867.347995766019
0.000143015591611605	-865.332328878181
0.000147094615314438	-863.398668435230
0.000151536133371332	-861.461783329989
0.000156778111279547	-859.412821371418
0.000162008402852114	-857.474266642131
0.000167761483215354	-855.386877960058
0.000172772321447773	-853.412024928893
0.000176930453188870	-851.523752978564
0.000183359843412885	-849.475741604884
0.000188019069874102	-847.542868932013
0.000192705746437653	-845.569419089487
0.000197526985366350	-843.681247594934
0.000204438563330368	-841.687971565887
0.000209525786504542	-839.674983317575
0.000213829746844878	-837.790861974626
0.000218100248976120	-835.722703711782
0.000224311073614440	-833.799639430588
