Rotation	Top moment [kN.m]
1.66000000000000e-07	-17.7444581900000
-8.88000000000000e-07	-18.1723374200000
2.60000000000000e-07	-17.8670295300000
5.17000000000000e-07	-17.8578518500000
1.99000000000000e-07	-17.8156476300000
-8.33000000000000e-07	-18.2248195100000
-9.49000000000000e-08	-18.2666602900000
4.66000000000000e-07	-17.8829649300000
2.95000000000000e-07	-17.8325177100000
7.64000000000000e-07	-17.8658302500000
9.33000000000000e-07	-17.8642656000000
-6.70000000000000e-07	-18.2004570800000
-2.70000000000000e-07	-18.2249458000000
-2.94000000000000e-07	-18.1019167700000
2.74000000000000e-07	-17.6905497500000
-2.80000000000000e-07	-18.1219893400000
4.78000000000000e-07	-17.7265650400000
-1.91000000000000e-07	-18.1081789600000
-7.29000000000000e-07	-18.0339790100000
1.11000000000000e-06	-17.6508104800000
2.82000000000000e-07	-17.6839017800000
7.06000000000000e-07	-17.6211276700000
-2.41000000000000e-07	-17.9754350600000
-1.08000000000000e-07	-17.9429696400000
-4.93000000000000e-07	-17.8609807300000
-1.10000000000000e-06	-17.8743300100000
6.04000000000000e-07	-17.4359373300000
3.00000000000000e-07	-17.3696839500000
7.13000000000000e-07	-17.4128620300000
-1.04000000000000e-06	-17.8330883300000
5.66000000000000e-07	-17.4033074100000
-1.02000000000000e-06	-17.7559884400000
-5.12000000000000e-07	-17.6526319600000
2.50000000000000e-07	-17.2741375200000
6.05000000000000e-07	-17.2618880800000
3.99000000000000e-07	-17.3175412700000
1.08000000000000e-06	-17.2153313400000
2.13000000000000e-07	-17.1622650400000
6.92000000000000e-07	-17.1994126200000
4.39000000000000e-07	-17.1234036100000
1.83000000000000e-07	-17.1262663500000
3.59000000000000e-07	-17.0859833300000
2.46000000000000e-07	-17.1176805500000
4.10000000000000e-07	-17.1340467100000
-1.56000000000000e-08	-17.4901181200000
7.26000000000000e-07	-17.0399456500000
-3.11000000000000e-07	-17.4946042300000
-3.52000000000000e-07	-17.3606723500000
-8.11000000000000e-07	-17.2613333100000
-4.71000000000000e-07	-17.2139578300000
6.56000000000000e-07	-16.9032993400000
1.18000000000000e-06	-16.8316223400000
1.71000000000000e-07	-16.8698032800000
6.00000000000000e-07	-16.9089325100000
3.94000000000000e-07	-16.8587186300000
1.44000000000000e-07	-16.7876660000000
-5.17000000000000e-08	-17.1920505500000
-8.33000000000000e-07	-17.1522812000000
2.06000000000000e-07	-16.6840751900000
-4.82000000000000e-08	-17.0842473500000
-7.45000000000000e-08	-17.1227188100000
-1.16000000000000e-06	-17.0597653500000
-3.03000000000000e-07	-17.0535416700000
-4.03000000000000e-07	-16.9760774400000
1.32000000000000e-06	-16.5821912300000
3.57000000000000e-07	-16.5173015500000
-2.77000000000000e-07	-16.8748832600000
-1.19000000000000e-06	-16.8868709600000
-4.74000000000000e-07	-16.8855634000000
-5.03000000000000e-07	-16.8580269500000
6.79000000000000e-07	-16.3476375600000
5.07000000000000e-07	-16.4511938800000
1.41000000000000e-07	-16.4593137700000
6.20000000000000e-07	-16.4310531600000
-5.78000000000000e-07	-16.6590702200000
-1.04000000000000e-07	-16.6909450900000
1.11000000000000e-06	-16.2562135600000
-1.14000000000000e-08	-16.6304073100000
-5.03000000000000e-08	-16.5896646300000
4.06000000000000e-07	-16.2001923600000
4.15000000000000e-08	-16.1674567500000
-1.26000000000000e-07	-16.5908776600000
-5.61000000000000e-07	-16.5230773200000
1.13000000000000e-07	-16.0936530400000
3.31000000000000e-07	-16.1184281300000
-8.25000000000000e-07	-16.5266317200000
3.47000000000000e-08	-16.1117893600000
-2.44000000000000e-08	-16.4328374400000
-1.36000000000000e-06	-16.4446472500000
8.67000000000000e-09	-16.0718485500000
-6.09000000000000e-07	-16.3703606600000
4.59000000000000e-07	-15.9362176700000
-2.38000000000000e-07	-16.2687582100000
-6.07000000000000e-07	-16.2706236700000
8.75000000000000e-07	-15.8654580900000
-2.67000000000000e-07	-16.1101172100000
1.13000000000000e-06	-15.8013367200000
-6.04000000000000e-07	-16.0745365200000
-9.39000000000000e-07	-16.0146981000000
-4.28000000000000e-07	-16.0227434100000
5.92000000000000e-08	-15.6239010800000
5.09000000000000e-07	-15.4814390700000
6.01000000000000e-07	-15.5555331900000
7.93000000000000e-07	-15.4988768700000
-1.00000000000000e-06	-15.8373809200000
4.18000000000000e-07	-15.4111313700000
6.40000000000000e-07	-15.3642162700000
7.79000000000000e-07	-15.2971629800000
7.22000000000000e-07	-15.2578840100000
-1.22000000000000e-07	-15.5928299600000
-9.53000000000000e-08	-15.5049598100000
6.85000000000000e-08	-15.0185502500000
-1.06000000000000e-06	-15.4146274100000
7.14000000000000e-07	-15.1333546100000
6.31000000000000e-07	-15.0630137000000
5.97000000000000e-07	-14.9790545600000
1.13000000000000e-06	-14.9286315700000
-2.07000000000000e-07	-15.2861128400000
1.19000000000000e-06	-14.8925552400000
-4.92000000000000e-07	-15.3258710700000
3.33000000000000e-07	-14.8269757400000
-3.93000000000000e-07	-15.1395560700000
-6.19000000000000e-07	-15.2143046300000
-3.45000000000000e-07	-15.0748173700000
-1.66000000000000e-07	-15.1529518400000
-1.86000000000000e-08	-15.1284719700000
-2.55000000000000e-07	-15.0890949000000
-2.10000000000000e-07	-15.0098959800000
3.63000000000000e-07	-14.6200261300000
3.18000000000000e-07	-14.5513689900000
9.51000000000000e-07	-14.6213188300000
-1.65000000000000e-08	-14.8950357100000
-1.14000000000000e-07	-14.9362668800000
3.62000000000000e-07	-14.4642546000000
-6.96000000000000e-08	-14.8850802900000
6.35000000000000e-07	-14.4767928000000
-6.77000000000000e-07	-14.7857108800000
6.24000000000000e-07	-14.3483195300000
-1.75000000000000e-07	-14.6602373900000
-4.99000000000000e-07	-14.6786507100000
-1.38000000000000e-07	-14.6490422500000
3.53000000000000e-07	-14.2116811500000
7.72000000000000e-07	-14.3256753900000
-2.99000000000000e-09	-14.5432278800000
2.36000000000000e-07	-14.0729070600000
-7.46000000000000e-07	-14.4271507100000
3.63000000000000e-07	-14.0283822600000
-1.31000000000000e-06	-14.3523936400000
2.33000000000000e-07	-13.9675032900000
1.28000000000000e-07	-13.9089901900000
5.93000000000000e-07	-13.9254746100000
4.01000000000000e-07	-13.9220296800000
1.15000000000000e-07	-13.8069965300000
6.71000000000000e-07	-13.7496349400000
-8.22000000000000e-07	-14.0396070500000
-4.16000000000000e-09	-14.0867667800000
-2.30000000000000e-07	-13.9342617400000
3.14000000000000e-07	-13.5161616100000
6.35000000000000e-07	-13.4054204900000
5.19000000000000e-07	-13.4578879300000
-3.94000000000000e-07	-13.8214115700000
-4.60000000000000e-08	-13.7047592100000
-3.85000000000000e-07	-13.5498493500000
-2.21000000000000e-07	-13.6403090300000
2.62000000000000e-07	-13.1686558000000
7.38000000000000e-07	-13.0683062600000
-4.59000000000000e-07	-13.4770199900000
1.61000000000000e-07	-12.9875787400000
-1.25000000000000e-06	-13.3728050700000
-1.46000000000000e-07	-13.2664683800000
-5.80000000000000e-07	-13.0903075600000
1.16000000000000e-06	-12.5796969800000
-9.19000000000000e-07	-12.8503140700000
-6.29000000000000e-07	-12.6848532600000
7.58000000000000e-07	-12.1677845700000
7.44000000000000e-07	-12.0706754300000
3.53000000000000e-07	-11.9140005100000
3.45000000000000e-07	-11.7948914200000
-1.35000000000000e-06	-12.0572344900000
8.52000000000000e-07	-11.6527791600000
1.35000000000000e-07	-11.5167667700000
-2.65000000000000e-07	-11.7686911800000
-3.40000000000000e-07	-11.7909428400000
2.85000000000000e-07	-11.3841726300000
-2.45000000000000e-07	-11.5713087000000
-7.73000000000000e-07	-11.5622959700000
-1.44000000000000e-07	-11.5013698700000
3.07000000000000e-07	-10.9783001200000
-3.87000000000000e-07	-11.4139223800000
4.87000000000000e-07	-11.0492663900000
-2.54000000000000e-08	-11.2711956600000
6.61000000000000e-08	-10.9272150200000
1.44000000000000e-06	-10.7782584600000
1.13000000000000e-06	-10.7560603100000
1.77000000000000e-07	-10.6729514500000
1.88000000000000e-07	-10.6803098700000
1.13000000000000e-06	-10.7158950500000
2.83000000000000e-07	-10.5735296900000
4.05000000000000e-07	-10.4126838200000
2.37000000000000e-07	-10.5124672800000
1.04000000000000e-06	-10.4431587700000
-4.61000000000000e-07	-10.8252302000000
-1.24000000000000e-06	-10.6868349600000
7.69000000000000e-08	-10.2808657600000
-3.87000000000000e-08	-10.6286068000000
5.53000000000000e-08	-10.1984156800000
-2.28000000000000e-07	-10.5013777500000
-8.36000000000000e-07	-10.5100116300000
-5.99000000000000e-07	-10.5221624900000
9.85000000000000e-08	-10.0771613000000
-6.69000000000000e-07	-10.5198478400000
1.06000000000000e-06	-10.0253374400000
-1.16000000000000e-07	-10.3097771000000
2.20000000000000e-08	-9.97159810400000
2.03000000000000e-07	-9.80837171000000
3.75000000000000e-07	-9.91211733600000
-9.76000000000000e-09	-10.1313184000000
5.94000000000000e-08	-9.85942702700000
4.87000000000000e-07	-9.90133735900000
-9.36000000000000e-07	-10.2239162800000
3.80000000000000e-07	-9.88842748300000
-9.38000000000000e-07	-10.1307564500000
-6.82000000000000e-08	-10.0839515900000
1.17000000000000e-07	-9.65589172800000
