Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
-1.08E-06	12.10038018
-2.99E-07	12.05673659
5.92E-07	11.90837406
-9.98E-07	12.11190959
1.66E-07	11.90988636
6.31E-07	11.88867912
2.24E-08	11.96386765
3.73E-07	11.90990868
2.24E-08	11.88226953
-1.05E-06	12.23474972
1.33E-06	11.93310556
8.40E-07	11.96174992
1.19E-06	12.01099362
-4.91E-07	12.27248367
-2.46E-07	12.24038244
2.81E-07	12.08086426
7.26E-07	12.11632634
7.09E-07	12.09026551
-1.77E-08	12.37097338
1.05E-06	12.1553221
-5.65E-07	12.40859325
8.44E-07	12.16903034
2.45E-08	12.10528378
1.66E-07	12.15436707
-1.25E-06	12.43595847
1.71E-07	12.18724531
-1.82E-07	12.52657592
6.50E-07	12.21712011
6.73E-07	12.24146114
6.41E-07	12.22226975
-3.66E-07	12.5439846
-2.96E-07	12.49407084
3.78E-07	12.27539249
-1.14E-06	12.55130365
6.23E-08	12.28244375
6.18E-07	12.24255425
-6.27E-07	12.56952017
-8.99E-07	12.58027948
-1.80E-07	12.60133266
8.60E-07	12.27332022
2.64E-07	12.33805052
-6.60E-07	12.65291516
-1.45E-06	12.68674524
1.11E-06	12.48392913
-8.35E-07	12.7367303
8.89E-07	12.45570011
4.77E-07	12.45406313
-1.42E-07	12.82071714
4.16E-08	12.5245923
6.92E-07	12.46807117
1.14E-06	12.59665034
-3.21E-07	12.83455149
-7.34E-07	12.93582233
1.21E-06	12.59870683
-3.65E-07	13.0349237
5.77E-07	12.69167291
9.37E-07	12.66793422
7.03E-07	12.68580754
1.14E-07	12.72151636
8.63E-07	12.78102748
-1.71E-07	13.072488
1.17E-06	12.77045041
2.56E-07	12.75123271
8.50E-07	12.76732541
1.40E-07	12.73416477
-1.09E-06	13.10459666
-1.11E-06	13.12928274
-6.28E-07	13.09617104
-1.04E-06	13.1410756
-1.17E-06	13.16147279
-8.17E-07	13.17011219
1.43E-07	12.85004829
-7.39E-07	13.24963859
3.16E-07	12.88826262
-3.75E-08	13.32361285
-3.82E-07	13.30909531
-9.76E-07	13.36789686
-5.68E-07	13.31259904
-1.70E-07	13.30277094
8.26E-09	12.96702081
-2.40E-07	13.35763523
5.26E-07	12.99208801
9.06E-07	12.97361309
-1.74E-06	13.32421708
-6.16E-07	13.42577835
4.97E-07	12.98181933
-3.99E-07	13.36184889
3.17E-07	13.07444506
-8.48E-07	13.48138386
4.11E-07	13.09363769
2.69E-07	13.04446799
9.90E-07	12.98957438
-1.35E-07	13.44142526
-9.15E-07	13.49982206
-3.82E-07	13.41123033
-3.50E-07	13.51604026
-1.11E-06	13.55403952
8.32E-07	13.1216399
2.39E-06	13.09898283
-1.05E-07	13.54834141
-1.77E-06	13.57458809
-9.36E-07	13.56410743
1.93E-07	13.21141901
6.20E-07	13.21316909
1.03E-07	13.20466015
-2.06E-07	13.6818457
-4.74E-07	13.69655866
8.93E-07	13.21594405
5.91E-07	13.27490351
4.40E-07	13.28476987
1.68E-07	13.25434803
1.42E-07	13.280822
-2.43E-07	13.7055125
-1.64E-06	13.72626095
1.34E-07	13.28542871
-8.55E-07	13.70423439
-4.23E-07	13.68961275
-1.01E-09	13.72252938
-3.76E-07	13.65199506
-4.65E-07	13.65928036
-8.42E-07	13.63077183
-5.64E-07	13.64939512
-4.37E-07	13.64488524
-1.47E-06	13.67807299
3.28E-07	13.08207053
4.18E-08	13.12054958
-4.31E-07	13.62994025
-2.59E-07	13.63284165
3.38E-08	13.1726158
4.86E-07	13.43353839
1.04E-06	14.11470992
-4.53E-08	14.90652016
-5.85E-07	14.84225384
4.77E-07	14.14887015
-4.21E-07	14.57591638
-2.56E-07	14.60166336
5.90E-07	14.26158906
-6.62E-07	14.82112844
-4.84E-07	14.73680628
-3.71E-07	14.72343745
-6.50E-07	14.73975821
-7.21E-07	14.79135905
-1.03E-06	14.8446256
-1.06E-07	14.84995961
-1.65E-06	14.79566326
7.47E-07	14.28483887
9.64E-08	14.24919737
5.35E-07	14.3342658
1.51E-07	14.29577176
5.08E-07	14.25744533
1.19E-07	14.3091523
-3.95E-07	14.83158648
-4.26E-07	14.86310115
-3.36E-08	14.85501614
-2.18E-08	14.86498637
-8.84E-07	14.9112483
-1.44E-07	14.84902337
-2.88E-09	14.91852575
3.35E-07	14.35958924
-4.81E-07	14.94036083
-1.66E-07	14.9126214
-6.41E-07	14.93460256
8.73E-08	14.38349187
-1.24E-08	14.92701351
6.91E-07	14.42197379
6.67E-08	14.37046758
-1.10E-06	14.9520637
-2.85E-07	14.94594678
-4.21E-07	14.98592792
-2.45E-07	14.98618153
-9.39E-08	14.96283336
1.27E-07	14.41342743
4.01E-07	14.3926095
6.09E-07	14.40935094
-1.54E-07	15.02108824
-3.84E-07	14.94674013
-1.34E-07	15.07511387
-1.13E-08	15.02860448
-7.25E-07	14.97118358
-3.47E-07	15.01986015
4.38E-09	14.35618298
-2.00E-07	14.99554569
2.57E-07	14.34122003
1.23E-06	14.33857638
4.82E-07	14.37607085
4.25E-08	14.33012496
1.44E-07	14.27666913
-7.33E-07	14.98114744
9.47E-07	14.37130514
-4.63E-07	14.99459361
-1.25E-06	14.94691714
-7.78E-07	14.97666575
-1.01E-06	15.00296972
1.62E-07	14.46952049
4.72E-07	14.4771502
7.24E-07	14.46135708
4.29E-07	14.43533612
-2.82E-07	15.16413394
-7.24E-07	15.19124324
-1.57E-06	15.19482563
1.16E-07	14.6815917
-4.17E-07	15.30684228
1.10E-06	14.73573721
-1.30E-06	15.45539584
-6.93E-07	15.45528703
3.71E-07	14.80989135
-1.29E-06	15.51000104
-9.75E-07	15.58663173
7.20E-07	14.96606897
-8.47E-07	15.67533661
7.58E-08	15.0082774
3.92E-07	15.03305514
1.10E-06	15.04239537
-5.84E-07	15.75036524
-9.08E-07	15.84475623
-4.10E-07	15.80925967
-5.04E-07	15.81304899
-1.16E-07	15.82860946
3.07E-07	15.2448124
-4.47E-08	15.89502867
-2.76E-07	15.88940854
-2.55E-07	15.96396798
1.41E-07	15.23528231
7.08E-07	15.29190782
5.97E-07	15.31009445
1.03E-06	15.33682343
-5.34E-07	15.92304803
2.35E-07	15.32255449
2.91E-07	15.23135056
-3.13E-07	15.9879115
-2.27E-07	15.9292099
3.57E-07	15.26806228
5.97E-07	15.27079423
7.96E-07	15.25034346
7.29E-07	15.20185512
1.32E-06	15.22447148
-3.07E-07	15.96281739
-1.49E-06	15.86089731
-4.05E-07	15.95282934
8.21E-07	15.18919163
-4.29E-07	15.96156816
6.03E-08	15.23643709
2.81E-07	15.27986952
-8.09E-07	16.00520897
-4.20E-07	15.98173171
2.85E-07	15.29229364
3.14E-07	15.24648386
-4.87E-07	15.97633375
5.71E-07	15.2131927
1.11E-07	15.20904641
3.40E-07	15.19571749
-3.35E-07	15.94278995
3.63E-07	15.20678343
4.50E-07	15.20493585
-3.13E-07	15.85653903
-9.13E-07	15.86161476
-3.70E-07	15.83450762
4.51E-07	15.01625827
-1.51E-06	15.67008364
6.56E-07	14.72697177
4.39E-07	14.6129658
2.60E-07	14.40231174
-8.65E-08	14.95626019
-4.12E-07	14.81121975
-9.80E-07	14.57647622
-2.11E-06	14.33834616
-4.39E-07	14.27308864
-4.70E-07	14.15534008
-6.13E-07	14.04719245
3.30E-07	13.13437363
2.98E-07	13.00116511
-1.12E-06	13.68619442
-5.45E-07	13.58072139
-2.48E-07	13.53887565
2.19E-07	12.71116604
1.63E-06	12.70184627
4.33E-08	12.70413606
-5.00E-07	13.55770606
-8.11E-08	13.54175341
9.83E-07	12.70494059
-3.81E-07	13.61739621
-9.40E-07	13.57322177
3.64E-07	12.83273202
1.14E-06	12.82758986
4.01E-08	12.91626696
4.07E-08	12.95655232
-3.73E-07	13.74446539
2.76E-07	12.95854438
-6.53E-07	13.77782536
4.39E-07	12.85355261
-1.16E-06	13.79938208
-9.57E-07	13.86828253
1.67E-06	12.92311276
-3.34E-07	13.82349364
6.02E-07	13.02619127
2.16E-06	12.92584103
-9.10E-07	13.81251151
1.36E-06	12.79283531
-4.58E-08	13.56872881
-4.38E-07	13.60962625
-4.21E-07	13.57540579
-9.62E-07	13.58428281
5.61E-07	12.75147561
-1.21E-06	13.64339727
1.08E-07	12.77008127
5.40E-07	12.79887663
8.51E-07	12.76921885
-4.62E-07	13.65503866
-1.63E-07	13.69287375
2.84E-07	12.81245332
-9.14E-07	13.81606747
-2.87E-07	13.74958947
-1.04E-07	13.76920192
2.64E-07	12.91577783
1.39E-07	12.93156325
-1.03E-06	13.82722842
-4.88E-07	13.86580531
-8.82E-07	13.83537208
-2.87E-07	13.86513789
5.18E-07	12.92948282
-4.98E-07	13.92324834
-5.75E-07	13.93167401
-1.33E-06	13.92785594
-1.17E-06	13.92526522
1.61E-07	13.09534377
-1.43E-06	14.02121645
-1.59E-07	14.01429055
2.34E-08	13.12511556
1.09E-07	13.137287
5.00E-07	13.06927459
2.08E-07	13.09451388
-6.63E-07	14.02421344
2.49E-07	13.16563497
6.19E-07	13.07275498
-4.49E-07	14.02943006
7.79E-07	13.11083327
-5.47E-07	14.04781885
-4.42E-07	14.05231518
1.71E-07	13.15191445
-1.52E-07	14.05643641
1.00E-06	13.15148911
-2.05E-07	14.11993601
-4.57E-07	14.19597753
4.32E-07	13.22773495
-3.09E-07	14.20802871
7.51E-07	13.20163294
3.02E-07	13.22213882
7.09E-07	13.20768895
-3.86E-07	14.26621256
2.77E-07	13.38593835
-5.78E-07	14.46980023
7.20E-07	13.71689173
7.37E-07	13.89240449
-1.80E-06	14.93692486
6.42E-07	14.01019132
-4.98E-07	15.02668186
2.82E-07	14.02604535
-7.31E-08	15.07281008
-3.08E-08	15.11915157
5.04E-07	14.16787584
5.07E-07	14.15632173
3.98E-07	14.18556202
3.17E-08	14.1546229
1.46E-06	14.18458429
-3.18E-07	15.18261304
-1.64E-07	15.17851485
-2.39E-07	15.28050564
5.23E-07	14.22097699
-4.35E-07	15.22946733
-1.01E-06	15.26654362
-2.78E-07	15.2859379
5.94E-07	14.27842541
-4.16E-08	15.29058289
-5.29E-07	15.27536837
5.28E-07	14.33911877
3.39E-07	14.27288148
-8.86E-07	15.35209322
-4.49E-07	15.29303686
-1.39E-07	15.36005657
1.13E-06	14.32044099
5.21E-07	14.30040396
8.24E-07	14.29740824
-9.55E-07	15.44687062
1.49E-06	14.39696128
9.60E-08	14.33191197
-1.86E-07	15.39510789
7.29E-07	14.36790325
3.62E-07	14.41076969
7.22E-07	14.38697647
6.79E-07	14.41340095
-2.63E-07	15.50347725
2.36E-07	14.4502914
-4.35E-07	15.49898232
1.14E-06	14.48549857
-4.18E-07	15.56624699
-8.62E-07	15.61515929
2.70E-07	14.51442777
-5.27E-07	15.55926096
6.44E-08	14.48606798
1.80E-06	14.51394507
-2.75E-07	15.6402271
5.01E-07	14.55969658
4.22E-08	14.56495345
-3.21E-07	15.6188316
7.00E-08	14.53164501
-5.47E-07	15.69354479
-1.01E-07	15.6486236
6.85E-07	14.58089617
-3.25E-08	15.74084279
2.64E-07	14.61239751
-1.42E-07	15.76699573
-7.63E-07	15.81822158
-1.24E-06	15.77542528
-3.78E-07	15.79049332
4.70E-07	14.69188545
1.06E-07	14.71755228
1.91E-07	14.73407353
1.10E-06	14.74510226
-1.03E-06	15.89965686
5.50E-07	14.79940607
8.83E-09	14.83038396
-1.88E-07	15.92387233
9.50E-07	14.8241293
7.86E-08	14.88306123
-3.56E-07	16.02195711
-3.08E-07	16.04452986
-9.91E-08	16.01215313
-7.30E-07	16.0731879
4.22E-07	14.89845052
1.50E-06	14.89674944
-1.71E-07	16.09562042
1.28E-06	14.96329073
1.08E-07	14.96359715
9.26E-07	14.96395249
1.21E-07	14.91130991
3.43E-07	14.92706828
-6.09E-07	16.182489
-1.10E-06	16.12988375
-2.16E-07	16.23685179
5.35E-07	15.06933831
5.28E-08	15.09397282
1.32E-06	15.1208517
7.19E-07	15.17592921
1.59E-07	15.1200364
1.59E-07	15.20385894
-2.85E-07	16.46408312
4.39E-07	15.25457036
7.85E-07	15.26112736
-2.59E-07	16.44897693
-6.52E-07	16.41584293
1.45E-06	15.27066707
-2.37E-07	16.47068683
5.89E-08	15.29563515
2.56E-07	15.28744508
4.26E-07	15.32844694
-8.78E-08	16.54635691
4.85E-07	15.32584101
4.49E-07	15.44048493
-1.53E-07	16.56015302
-5.20E-07	16.54623932
-7.00E-07	16.61691543
6.44E-07	15.42320793
1.22E-06	15.3931945
-4.35E-07	16.65457773
-9.32E-07	16.6975767
4.87E-07	15.52231649
-3.41E-07	16.76982938
4.52E-07	15.46254727
-1.07E-07	16.72638902
5.52E-07	15.54760527
-1.23E-06	16.83659275
-3.92E-07	16.81856206
4.30E-07	15.60121471
-8.93E-08	16.85741227
5.88E-07	15.61701386
8.93E-07	15.62843985
6.06E-07	15.67312913
1.07E-06	15.68207571
-1.04E-06	16.94450046
-2.26E-07	16.94738424
5.05E-07	15.74619901
1.97E-06	15.77903208
5.52E-07	15.76657514
-8.29E-07	17.03733097
2.43E-07	15.72680344
-2.16E-07	17.00688799
-1.85E-08	17.05779239
8.12E-07	15.73117945
6.96E-07	15.75654943
-7.92E-07	17.02573665
4.01E-07	15.72303571
2.50E-06	16.0941549
5.46E-06	16.1589094
9.34E-06	16.79422098
1.16E-05	17.13979245
1.48E-05	17.42017889
1.73E-05	17.78397929
2.01E-05	18.01492116
2.25E-05	18.30273909
2.49E-05	18.60722696
2.73E-05	18.85701045
3.14E-05	19.15425514
3.23E-05	19.50352772
3.55E-05	19.77017487
3.92E-05	20.1104175
4.11E-05	20.31287954
4.41E-05	20.57898819
4.73E-05	20.94462687
4.96E-05	21.20685555
5.23E-05	21.48851711
5.37E-05	21.78334351
5.86E-05	22.01576368
6.03E-05	22.31416717
6.21E-05	22.63543482
6.40E-05	22.9222107
6.73E-05	23.17011509
6.95E-05	23.41904576
7.29E-05	23.69049821
7.45E-05	23.90752526
7.76E-05	24.19119971
8.05E-05	24.40510699
8.33E-05	24.72285191
8.48E-05	24.95254592
8.75E-05	25.16458411
8.94E-05	25.38291978
9.52E-05	25.56520227
9.62E-05	25.6926757
9.77E-05	25.87617848
0.000101006	25.99976746
0.000104191	26.09731038
0.000106834	26.25135538
0.000108624	26.31186804
0.000111914	26.37211106
0.000113806	26.50273889
0.000115938	26.5945418
0.000120166	26.66156726
0.000121366	26.83899089
0.000125198	26.94316373
0.000127119	27.08481214
0.000129612	27.19535795
0.000132456	27.26557763
0.000133931	27.40659181
0.000137345	27.46441098
0.000140332	27.54836586
0.00014192	27.58627724
0.00014436	27.72207511
0.000147908	27.74418949
0.000149729	27.75620711
0.000152567	27.80654148
0.000155137	27.8228931
0.000158019	27.7932065
0.000159716	27.76498725
0.000162455	27.64267637
0.000165752	27.60928933
0.000169198	27.49270098
0.000168769	27.52943069
0.000173444	27.54924542
0.000177037	27.57657178
0.000178368	27.48812305
0.000181339	27.52998655
0.000185269	27.50931205
0.000187031	27.51714586
0.000189877	27.5515014
0.000191707	27.53965316
0.000194083	27.55066362
0.000196458	27.55545572
0.000198477	27.60080492
0.000201731	27.71151639
0.000205265	27.61877979
0.000207177	27.65364791
0.000209703	27.71218202
0.000212754	27.67564546
0.000214864	27.73979276
0.00021715	27.75041125
0.000219759	27.77342627
0.000223078	27.77948894
0.000226244	27.80269737
