Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
3.61E-07	12.62561429
6.77E-08	12.65897344
-1.44E-07	13.16874954
-6.43E-07	13.21779463
-3.28E-07	13.2947937
7.39E-09	12.7816538
3.27E-07	12.84205327
-3.91E-07	13.40377045
2.88E-07	12.85225454
-1.84E-08	13.4667043
2.36E-07	12.88031283
5.52E-07	12.88045207
8.00E-07	12.9275041
1.68E-07	12.96611706
9.08E-07	13.03785342
8.74E-07	13.14127805
-7.84E-08	13.70238243
8.58E-07	13.22895337
-1.45E-06	13.88515276
3.55E-07	13.39959393
-2.42E-07	14.02579785
2.91E-08	13.53845165
2.02E-07	13.52369276
8.05E-07	13.59167783
-1.21E-06	14.23566119
4.24E-07	13.6859774
-2.65E-07	14.23592373
2.75E-07	13.66988356
-1.15E-07	14.28103355
-1.79E-06	14.38249924
-6.30E-07	14.36405924
-3.07E-07	14.40339408
-2.30E-07	14.37809744
3.52E-07	13.77220019
8.68E-07	13.79199341
3.25E-07	13.75547057
3.59E-07	13.73528585
3.71E-07	13.77680475
-2.04E-07	14.3607102
-1.17E-07	14.34980476
2.51E-07	13.71139246
3.19E-07	13.70858922
-7.51E-07	14.3398302
4.01E-07	13.68635864
7.83E-07	13.6890555
-2.39E-07	14.30794839
1.12E-06	13.69796807
6.05E-07	13.660986
1.25E-06	13.66304089
3.61E-07	13.62498924
-1.54E-06	14.28976878
3.43E-07	13.62097192
9.68E-08	13.55865829
7.15E-07	13.56934101
-2.35E-07	14.25946753
6.05E-07	13.55366625
3.53E-07	13.59149096
-1.47E-06	14.25503041
-1.03E-07	14.24171996
-1.21E-06	14.28094004
-7.86E-07	14.2487515
1.28E-06	13.44208807
-1.32E-06	13.967089
5.97E-07	13.20299907
-2.22E-07	13.75715099
-7.37E-07	13.5370945
9.37E-09	12.69657405
7.56E-08	12.48113331
1.23E-06	12.31535159
5.53E-07	12.17325848
-3.84E-08	12.81887822
1.94E-07	12.08183713
5.51E-07	11.95297488
-4.12E-07	12.56622973
-5.34E-07	12.42681905
-6.12E-07	12.30618379
4.17E-07	11.54911895
-8.87E-07	12.28682221
-3.05E-07	12.22347354
5.38E-07	11.45732278
1.02E-06	11.4807249
-1.55E-07	12.23875653
1.14E-06	11.43363517
-1.12E-07	12.1982338
-1.01E-06	12.28037278
-3.36E-07	12.31562959
4.31E-07	11.57974847
-1.19E-07	12.32204089
-2.30E-07	12.3371886
2.81E-07	11.61637366
-3.49E-07	12.45511357
-8.37E-07	12.42635458
-1.70E-07	12.47438219
6.07E-07	11.69160391
-7.16E-07	12.45137564
-1.19E-06	12.52554848
-9.66E-07	12.41385442
-6.48E-07	12.47204294
-1.54E-07	12.44818612
-2.67E-07	12.42316793
8.51E-07	11.69368842
-3.41E-07	12.4161093
6.76E-07	11.70823051
2.28E-07	11.64242002
-3.04E-07	12.42363941
7.37E-07	11.64195325
-2.85E-08	12.36506134
-5.71E-07	12.4333657
-4.14E-07	12.44575309
6.04E-07	11.62670341
9.37E-07	11.57299288
-2.63E-07	12.40117546
-1.51E-07	12.39944092
2.59E-07	11.61411139
3.16E-07	11.58183249
-1.31E-07	12.42536054
1.82E-09	11.60274881
3.19E-07	11.62878957
-2.95E-07	12.354183
1.29E-07	11.50454504
1.08E-06	11.47825584
-4.77E-07	12.40943807
6.17E-08	11.50009555
-7.03E-07	12.3444567
-7.86E-07	12.34622987
8.13E-07	11.49867801
1.63E-07	11.49431866
3.43E-07	11.516313
4.98E-07	11.49885832
-1.27E-06	12.35587047
-1.52E-07	12.35141849
-1.92E-07	12.30785477
8.49E-07	11.48239406
2.87E-07	11.47557024
9.57E-07	11.46745923
-3.49E-07	12.31751181
2.48E-07	11.458121
9.80E-07	11.45337028
-6.96E-07	12.33591416
1.32E-06	11.49908153
9.39E-07	11.43970084
-7.28E-07	12.32051214
-2.07E-07	12.30118438
5.16E-07	11.48461381
-1.12E-06	12.43476746
6.51E-07	11.44531607
7.53E-07	11.48258529
8.69E-08	11.49126362
5.79E-07	11.48278846
9.26E-07	11.43204983
-9.80E-08	12.31753109
3.92E-07	11.51048547
8.05E-07	11.48357625
-9.03E-07	12.41365856
-2.75E-07	12.31331007
1.01E-06	11.44286021
-1.67E-06	12.37833602
3.69E-07	11.4497943
-4.77E-07	12.34525448
-5.77E-08	12.40345969
5.97E-07	11.47399663
6.04E-08	11.48295181
9.20E-08	11.46145539
2.98E-07	11.44958029
-4.29E-08	12.38036709
2.58E-07	11.49981208
-1.31E-06	12.38071409
-1.44E-06	12.3810872
-6.36E-08	12.39698017
-1.76E-08	12.37108242
2.44E-07	11.47246859
-1.06E-06	12.47128636
-1.41E-06	12.39761924
2.24E-07	11.46280158
-7.74E-07	12.39698442
-1.28E-07	12.45787553
-1.28E-06	12.39492641
-5.17E-07	12.40749208
-2.17E-07	12.42827358
3.88E-07	11.56160447
3.29E-07	11.4978135
2.23E-07	11.46708625
-1.07E-06	12.48256151
-2.16E-07	12.41805844
4.19E-07	11.48536361
1.03E-06	11.53248917
1.73E-07	11.56694663
-9.22E-07	12.4792631
-9.15E-07	12.48426359
9.93E-07	11.47174297
-2.01E-07	12.4732186
1.62E-07	11.53989396
3.56E-07	11.54351862
-3.44E-07	12.53411958
9.06E-07	11.53169026
-6.39E-07	12.51273474
1.03E-06	11.57442164
-4.10E-07	12.51878651
8.32E-07	11.4801124
9.27E-07	11.50546311
1.11E-06	11.47985102
1.85E-07	11.53675874
-9.03E-07	12.53124474
-9.70E-07	12.47068533
-6.83E-07	12.5491488
4.65E-07	11.58157352
-1.52E-07	12.61178917
-9.34E-07	12.53061165
1.07E-06	11.5491507
9.36E-07	11.57628884
-5.43E-07	12.57534766
6.14E-07	11.53492748
1.33E-06	11.54500739
-1.14E-06	12.60560791
5.88E-08	11.52714381
1.30E-06	11.47851159
-4.34E-08	12.47801699
-3.95E-07	12.54563183
-1.41E-07	12.47551136
4.86E-07	11.45737461
-1.74E-07	12.45110215
-1.54E-07	12.39445367
1.36E-07	11.34494196
-1.34E-06	12.33757727
4.05E-07	11.26967079
-5.60E-07	12.35734268
6.86E-07	11.30877078
3.20E-07	11.25257055
-2.50E-07	12.32750065
3.09E-07	11.30207182
6.88E-07	11.31417166
5.10E-07	11.35552212
-1.39E-07	12.39322921
-4.45E-07	12.34409049
5.32E-07	11.31941084
1.29E-06	11.36146861
5.11E-07	11.36281154
4.87E-07	11.29577516
-2.45E-08	12.43538845
-8.38E-08	12.41378406
8.48E-07	11.30455404
2.96E-07	11.38905235
7.21E-07	11.36847336
-5.65E-07	12.41903809
-6.34E-07	12.48205648
4.90E-07	11.3392755
6.80E-08	11.35903493
1.05E-06	11.41865984
4.53E-07	11.38544121
6.87E-07	11.37287359
9.36E-07	11.48446827
1.69E-07	11.3429234
-4.46E-07	12.5598928
5.01E-07	11.3493082
-4.43E-07	12.53770115
1.03E-08	11.43094544
1.56E-06	11.43613095
-1.10E-07	12.49789214
2.89E-07	11.41123026
-7.43E-07	12.49942615
2.31E-07	11.43141633
7.06E-08	11.43355689
-4.22E-08	12.55096795
1.63E-07	11.3853949
1.37E-06	11.43376303
6.89E-07	11.47641178
8.76E-07	11.41530559
-7.98E-07	12.53816125
-1.57E-06	12.542715
-3.27E-07	12.55812485
1.11E-06	11.37185298
2.43E-07	11.37982161
9.55E-07	11.38018818
5.22E-07	11.37675064
-2.36E-07	12.49828944
-1.31E-07	12.57294054
-1.70E-06	12.54113924
8.98E-07	11.42252887
9.35E-07	11.46032565
8.20E-07	11.45115016
6.17E-07	11.4018139
-9.57E-08	12.6147069
3.01E-07	11.41145196
-3.09E-07	12.60316597
4.44E-07	11.48845523
7.95E-07	11.43037922
-5.93E-07	12.6142732
3.39E-07	11.43646337
1.01E-06	11.48057084
-8.37E-08	12.64121177
-5.68E-08	12.60534911
1.33E-07	11.40888612
9.09E-07	11.50621273
8.45E-07	11.51062171
4.04E-07	11.44890151
1.42E-06	11.43021565
-1.97E-07	12.56981375
-1.18E-07	12.58936385
4.43E-07	11.31984874
-1.19E-06	12.54221678
-2.80E-07	12.53877831
-3.14E-07	12.50574297
1.78E-06	11.56213824
9.78E-06	12.67036887
1.99E-05	13.41579978
2.90E-05	14.44457232
3.74E-05	15.58104025
4.62E-05	16.57565517
5.74E-05	17.75268723
6.82E-05	18.85345142
7.92E-05	19.88844434
8.98E-05	20.9545224
0.0001006	21.41376472
0.000111441	21.59263545
0.000121729	22.08320745
0.000131574	22.11602832
0.000142641	22.02500281
0.000153402	21.94134818
0.000164059	21.87684891
0.000175961	22.10986773
0.0001853	22.1489622
0.000194804	22.22833242
0.000207516	22.35117744
0.000215852	22.44089682
0.000227352	22.54546226
0.000237326	22.60065148
0.000248539	22.73545818
0.000258957	22.76301639
0.000268844	22.89496692
0.000280107	23.0682172
0.00029103	23.09398488
0.000300268	23.18405832
0.000310402	23.31222754
0.000321138	23.50879849
0.000330449	23.59408363
0.000341785	23.67042998
0.000352476	23.82409331
0.000362441	23.86158889
0.000373055	23.93207885
0.000383914	24.09436077
0.000394515	24.17416254
0.000404617	24.35688271
0.000413919	24.35517687
0.000425721	24.44329152
0.000435634	24.53161413
0.000446227	24.68465434
0.00045642	24.75967238
0.000467327	24.88072438
0.000476865	25.03721903
0.000488011	25.12140025
0.000497957	25.14965925
0.000508432	25.29773445
0.000518549	25.34955158
0.000528714	25.40539364
0.000538635	25.4873633
0.000548649	25.61287428
0.000558425	25.69689929
0.000570136	25.76685195
0.000582199	25.92802816
0.000591169	26.02177355
0.000602012	26.06461003
0.000611975	26.22663358
0.000622637	26.30339566
0.000633105	26.37472584
0.000641216	26.48540954
0.000654172	26.61937877
0.000663663	26.66362348
0.000674538	26.77741597
0.000684989	26.91799999
0.000695622	27.02360654
0.000705859	27.12122467
0.000716872	27.29412204
0.000727211	27.39169851
0.00073559	27.46802719
0.000746282	27.47989319
0.000756946	27.63084499
0.000768065	27.71277466
0.000778825	27.84148779
0.000787534	27.97574933
0.000798105	28.05387743
0.000809301	28.17489866
0.000818326	28.23644294
0.000829465	28.28032054
0.000839765	28.42797827
0.000850004	28.45695099
0.000861235	28.48687989
0.000871193	28.5956279
0.000880257	28.72009307
0.000890801	28.8826852
0.000901096	28.8782648
0.000911628	28.93580776
0.000921094	29.06158364
0.000932719	29.06586752
0.000942706	29.24980032
0.000954631	29.27017781
0.000964036	29.30952013
0.000974241	29.37296473
0.000984856	29.44378053
0.000993837	29.51525195
0.001004069	29.58389279
0.001014538	29.63209199
0.001025098	29.78834074
0.001036599	29.88623481
0.00104605	29.90956574
0.001056354	30.02672433
0.001066717	30.04281623
0.001075917	30.13019995
0.001085449	30.23339673
0.001097664	30.31732278
0.001108034	30.38007759
0.001120238	30.520906
0.001129419	30.53344894
0.001140154	30.62795855
0.001149769	30.66396995
0.001159023	30.77759358
0.001169567	30.8562289
0.001180667	30.93405314
0.001190571	30.98266289
0.001202293	31.11625536
0.001211112	31.17014192
0.001221096	31.23446728
0.001230751	31.35070753
0.001242429	31.35348902
0.001253308	31.42849071
0.001264333	31.51585209
0.001272821	31.59596442
0.001283625	31.71407644
0.001292565	31.77193825
0.001304944	31.80500054
0.001314169	31.94243878
0.001326182	31.92464293
0.001335275	32.06072751
0.001345521	32.10100167
0.001356835	32.19544246
0.001367048	32.26678388
0.001376993	32.36958212
0.001386841	32.33446625
0.001397721	32.49204823
0.001408033	32.53113403
0.001417702	32.59407334
0.001427609	32.74261894
0.001438009	32.7956255
0.001448403	32.84319258
0.001458264	32.97243916
0.001469551	32.99124986
0.00148059	33.07410284
0.001489896	33.19466092
0.001500687	33.27900996
0.001510634	33.30283975
0.001520137	33.39818854
0.001531282	33.47072346
0.001540987	33.55867936
0.001551322	33.66539049
0.001561707	33.7196533
0.001571809	33.8144035
