Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
-1.08E-06	45.79196096
1.33E-06	45.83957412
-5.65E-07	45.63586622
-3.66E-07	45.20036749
2.64E-07	44.82157141
1.14E-06	44.42057633
-1.71E-07	44.22444944
-8.17E-07	43.68989121
-2.40E-07	43.51265434
2.69E-07	43.33867388
-1.77E-06	43.54954378
1.68E-07	43.3707482
-8.42E-07	43.31049668
1.04E-06	42.83794971
-6.50E-07	42.4772854
1.19E-07	42.01470635
-1.66E-07	41.88137059
-9.39E-08	41.75437612
4.38E-09	41.29478042
-1.25E-06	40.70345241
1.16E-07	40.23605729
7.58E-08	39.89889637
-2.76E-07	39.52594811
-2.27E-07	39.10093447
-4.29E-07	38.97011923
3.40E-07	39.12674571
4.39E-07	39.5587413
2.98E-07	39.85302707
-3.81E-07	40.00239032
-1.16E-06	39.99480365
-4.21E-07	40.04312518
-9.14E-07	40.14263123
-4.98E-07	40.53923241
2.08E-07	41.21871057
1.00E-06	41.92125782
-5.78E-07	42.67626781
5.07E-07	43.21737473
-2.78E-07	44.08320089
5.21E-07	44.7071021
-2.63E-07	45.35622164
-2.75E-07	45.74625936
-1.42E-07	46.47760121
8.83E-09	47.2305206
-1.71E-07	48.32314884
5.28E-08	49.44178387
1.45E-06	50.56882696
-7.00E-07	51.37337006
-1.23E-06	52.19774126
5.05E-07	53.35431745
4.01E-07	54.8086287
2.73E-05	56.17139911
5.37E-05	57.40895582
8.05E-05	58.52800258
0.000107	59.53838544
0.000132	60.46477526
0.000158	61.30997599
0.000185	62.09339074
0.00021	62.82024455
0.000236	63.50157211
0.000262	64.12946139
0.000287	64.70968326
0.000313	65.24829845
0.000339	65.75675028
0.000364	66.24828398
0.000391	66.72454933
0.000415	67.18556055
0.000441	67.61869307
0.000466	68.02594934
0.000494	68.40759275
0.000519	68.77464576
0.000544	69.11919494
0.00057	69.44144637
0.000596	69.74475626
0.000622	70.04033763
0.000648	70.33508994
0.000673	70.62610906
0.000699	70.92232677
0.000725	71.22655489
0.000749	71.54133442
0.000775	71.85516559
0.000804	72.16704941
0.000828	72.48301402
0.000852	72.8030765
0.000877	73.12323676
0.000903	73.4357038
0.000929	73.74932377
0.000954	74.06133007
0.00098	74.37289838
0.00101	74.68041333
0.00103	74.99261504
0.00106	75.30496585
0.00108	75.6125792
0.00111	75.91318873
0.00113	76.21139526
0.00116	76.51016771
0.00118	76.80429512
0.00121	77.09558025
0.00123	77.38451077
0.00126	77.6753922
0.00129	77.96082217
0.00131	78.24604234
0.00134	78.53255127
0.00136	78.82056816
0.00139	79.10481837
0.00141	79.38704008
0.00144	79.67194236
0.00147	79.95562068
0.00149	80.22309188
0.00152	80.46631219
0.00154	80.68500991
0.00157	80.8791322
0.00159	81.04683174
0.00162	81.18341328
0.00164	81.28809837
0.00167	81.35439025
0.0017	81.38383678
0.00172	81.37456133
0.00175	81.33259248
0.00177	81.25765264
0.0018	81.1517502
0.00182	81.01438604
0.00185	80.8443487
0.00187	80.64221466
0.0019	80.40657414
0.00193	80.13927927
0.00195	79.83608633
0.00198	79.50018213
0.002	79.12579594
0.00203	78.71813467
0.00205	78.27116814
0.00208	77.78163677
0.0021	77.24711351
0.00213	76.67331333
0.00215	76.06638541
0.00218	75.42794847
0.00221	74.75581005
0.00223	74.05259308
0.00225	73.32892022
0.00226	72.59247014
0.00226	71.85098635
0.00226	71.10429861
0.00226	70.35665792
0.00226	69.60955314
0.00225	68.86800798
0.00225	68.13604855
0.00225	67.41615618
0.00225	66.70773179
0.00225	66.01002287
0.00225	65.31849142
0.00225	64.63489636
0.00225	63.95757224
0.00224	63.28981682
0.00224	62.6281244
0.00224	61.97279363
0.00224	61.32462042
0.00224	60.68805359
0.00224	60.06122962
0.00223	59.44696433
0.00223	58.84557595
0.00223	58.26306216
0.00222	57.70392443
0.00222	57.1644986
0.00222	56.64199808
0.00222	56.13220606
0.00221	55.63455919
0.00221	55.14573053
0.00221	54.66497741
0.0022	54.19333115
0.0022	53.73230945
