Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
1.88E-07	3.065931124
-3.03E-07	3.065340789
-2.01E-07	3.082339203
6.37E-07	3.065829759
-9.79E-07	2.96993176
7.58E-07	3.044436877
2.13E-07	3.087693626
5.43E-07	3.175885124
-8.24E-07	3.148838831
6.69E-09	3.196880604
-1.50E-07	3.182426738
4.92E-08	3.298190972
-8.43E-07	3.311176851
-1.63E-07	3.288255596
1.95E-08	3.347811393
-5.42E-07	3.32032558
-5.52E-07	3.411771104
-1.37E-06	3.454349163
9.39E-08	3.508685669
-9.25E-07	3.481131403
-6.26E-07	3.460166584
3.40E-07	3.574418293
8.68E-07	3.61591779
-1.27E-06	3.597714946
-6.74E-07	3.594936122
2.30E-07	3.649471896
-5.85E-07	3.642132802
1.57E-07	3.7410969
8.77E-07	3.714351936
1.72E-07	3.786549592
5.95E-07	3.785450275
1.30E-06	3.763578868
4.59E-07	3.791749783
5.32E-07	3.784882845
3.73E-07	3.838568214
-3.38E-07	3.793089524
-4.89E-07	3.832487557
1.31E-07	3.78564718
-2.65E-07	3.849843592
1.93E-07	3.835390704
5.88E-07	3.853291566
6.33E-07	3.854476968
1.73E-07	3.838612996
-2.99E-07	3.906960077
-4.38E-07	3.843885341
3.14E-07	3.88373214
7.99E-07	3.906167243
1.65E-06	3.976860786
-3.42E-07	3.951895598
-6.42E-08	3.991227261
1.63E-07	4.004640097
9.62E-07	4.060669992
-1.12E-07	4.031907067
9.53E-07	4.070223411
-3.41E-07	4.146349378
1.01E-06	4.066129031
4.29E-08	4.088545733
8.78E-07	4.077740788
3.53E-08	4.178321169
6.16E-07	4.16251415
-1.57E-07	4.16752012
3.98E-07	4.272036666
2.10E-07	4.253634125
2.22E-07	4.29642017
1.42E-07	4.258838723
4.16E-07	4.315427095
6.36E-07	4.407201184
-5.21E-07	4.38947966
-2.51E-08	4.394884352
7.48E-07	4.488654869
1.04E-06	4.508294918
1.62E-06	4.509132972
2.03E-07	4.591967608
6.99E-07	4.630340078
-3.37E-07	4.575567335
7.68E-07	4.678053038
4.81E-07	4.734574296
4.60E-07	4.645555205
-2.84E-07	4.69976991
2.75E-07	4.70683644
-6.18E-07	4.722776533
-2.78E-07	4.76690555
-1.58E-08	4.822776775
3.84E-07	4.813955231
-4.31E-07	4.826595864
1.18E-06	4.893410788
-5.22E-07	4.884941194
-3.63E-07	4.890263791
-2.04E-06	4.941993733
4.68E-07	4.948604903
-3.53E-07	4.937077445
3.39E-07	4.955947921
2.44E-08	4.95887355
1.30E-07	4.991645386
4.58E-07	5.038328318
9.74E-07	5.07095968
-3.02E-07	5.066297928
-5.24E-07	5.085106292
-2.71E-07	5.12710354
1.38E-07	5.231695217
9.47E-07	5.205800059
