Out-of-plane chord rotation [rad]	Out-of-plane Moment [kN.m]
1.88E-07	26.99489878
-3.03E-07	26.97734848
-2.01E-07	26.98548807
6.37E-07	26.93112027
-9.79E-07	26.91629589
7.58E-07	26.85757033
2.13E-07	26.84244401
5.43E-07	26.82710408
-8.24E-07	26.81573353
6.69E-09	26.75518298
-1.50E-07	26.73554941
4.92E-08	26.7282883
-8.43E-07	26.76407135
-1.63E-07	26.70349552
1.95E-08	26.69758766
-5.42E-07	26.67730523
-5.52E-07	26.60727363
-1.37E-06	26.5464728
9.39E-08	26.4829084
-9.25E-07	26.52347672
-6.26E-07	26.52896143
3.40E-07	26.45764378
8.68E-07	26.44362114
-1.27E-06	26.4286078
-6.74E-07	26.42614248
2.30E-07	26.42474998
-5.85E-07	26.40720301
1.57E-07	26.32910969
8.77E-07	26.38566158
1.72E-07	26.37248781
5.95E-07	26.42837127
1.30E-06	26.41537819
4.59E-07	26.40547907
5.32E-07	26.39035723
3.73E-07	26.38132674
-3.38E-07	26.37030311
-4.89E-07	26.3856686
1.31E-07	26.31068015
-2.65E-07	26.29610264
1.93E-07	26.21876635
5.88E-07	26.20754074
6.33E-07	26.18775901
1.73E-07	26.1667469
-2.99E-07	26.23122629
-4.38E-07	26.24017713
3.14E-07	26.1498597
7.99E-07	26.13035586
1.65E-06	26.10988182
-3.42E-07	26.0923205
-6.42E-08	26.00515076
1.63E-07	26.00947891
9.62E-07	25.98550499
-1.12E-07	25.96794517
9.53E-07	25.87772345
-3.41E-07	25.94079859
1.01E-06	25.85541747
4.29E-08	25.92409604
8.78E-07	25.99367439
3.53E-08	26.06170262
6.16E-07	26.03661552
-1.57E-07	26.10811562
3.98E-07	25.99500413
2.10E-07	26.07286015
2.22E-07	26.14639922
1.42E-07	26.2237915
4.16E-07	26.19336627
6.36E-07	26.27490894
-5.21E-07	26.26128925
-2.51E-08	26.15300094
7.48E-07	26.04657625
1.04E-06	26.03326351
1.62E-06	26.01520483
2.03E-07	26.10262204
6.99E-07	26.19778984
-3.37E-07	26.28602499
7.68E-07	26.17767051
4.81E-07	26.16665161
