Rotation	Top moment [kN.m]
-4.26774040325046e-07	0.0138543385756640
4.87153027652351e-08	0.190055261298766
2.34162655628081e-08	0.221579826095352
-1.89058085951706e-07	0.158324762625855
4.25750774391737e-09	0.295025790338292
-1.04731669674440e-07	0.267280980987547
-5.10699101124440e-08	0.331132945724605
1.08326345311314e-06	0.320044516995102
1.09372233904542e-06	0.309688983907557
-6.35287920770570e-07	0.226890796683669
-1.03421967362785e-06	0.187848117317946
-4.30030029422215e-07	0.297767199032039
-3.40332059570885e-07	0.259524042151472
-6.72286522903385e-07	0.307701072952762
1.44008974684397e-07	0.405955695993675
7.88907271616967e-08	0.371023486704620
6.41982474292952e-07	0.341389248262778
6.06365805931593e-07	0.375787521498054
6.90872456244258e-08	0.342485842862338
-1.18768750754902e-06	0.269851811815327
-6.80563040843611e-08	0.255871364132176
-1.41518807444108e-07	0.282507421120366
1.49273172587559e-06	0.402807365020875
3.29208564099408e-07	0.345890179180454
1.45755665696186e-06	0.443118267584353
4.91673021071806e-08	0.528145605515972
2.78559515297076e-07	0.461534026779616
-1.55753378516774e-07	0.342362421576298
1.65413591346789e-07	0.472538118440829
2.63156675155259e-07	0.423666830829403
7.65195463896386e-07	0.506610499711177
-9.44181476345378e-07	0.314524560019210
-1.97401006629395e-07	0.394306257534935
3.07823314750053e-07	0.422147935143144
-5.69189149035213e-07	-0.0187664199162801
-5.91725773884392e-07	-0.0900359850543034
6.09155217330081e-07	0.0507103641275450
-6.91788018286363e-08	-0.108235675077893
8.72803926214213e-08	0.0942756112234581
-5.84196237765903e-07	-0.0456832737723445
-2.19741620692004e-07	-0.0138887324251102
-5.93776989123897e-07	0.0418536806966912
2.47512235108906e-07	0.293254117951908
7.66034000184791e-07	0.250947198183836
2.11163691404838e-07	0.265571698124117
1.20498164438077e-07	0.248411792334769
-5.64667969313222e-07	0.146838666347076
6.74697829687024e-07	0.292362860486262
3.77672348889125e-07	0.192308443197975
-7.34071440561871e-07	0.190985713592968
1.02401443549833e-06	0.368402971253383
-1.61135486010221e-06	0.207594084011530
4.71933829480152e-09	0.401517649600415
2.46995996342507e-08	0.366917502911113
-1.60733215233803e-07	0.217521861743687
7.00875878883123e-07	0.385874914040212
3.13494040346129e-07	0.514205323173446
7.06689018706103e-07	0.519742881700680
-2.77059533793752e-07	0.456943116629246
2.89525298278486e-08	0.519934755643265
-1.15078156363053e-06	0.398351187073979
1.65435254867782e-07	0.551884000604604
-1.99849884623741e-07	0.400046387313175
-1.54932825526745e-07	0.537870096829431
-1.27562707282093e-06	0.463833001152379
6.96506919235080e-07	0.699491651967267
4.69955240497031e-07	0.659385321594584
-6.41318458047176e-07	0.632824804656206
-7.80305942442940e-08	0.549257871890987
-6.56676043893294e-07	0.609552334369872
3.96209569547786e-07	0.745443175042990
5.50771688998598e-07	0.827227865734470
-7.97619945724608e-07	0.632485577635816
-5.94285306166440e-07	0.711853526978183
1.93995275525059e-07	0.863404738990139
-1.06581985783186e-07	0.753169583884925
5.04446305602036e-07	0.941169208660500
7.37392809816141e-08	0.898072830629109
-3.98166706965620e-07	0.869734134406018
-8.26872717406238e-07	0.794985602320425
3.80816484859966e-07	0.958109583243253
-5.49089841296039e-07	0.344565481457062
-1.25937444803948e-08	0.420489970405836
-5.55711287343138e-07	0.314348583356679
-8.31782930884470e-07	0.260221228697547
-6.45997543374980e-07	0.201139226591943
5.96520644681424e-07	0.375172539736144
-3.46455033669365e-08	0.370857711471725
-7.22360804631657e-07	0.376220912486633
-1.64693737491807e-07	0.405392337297420
-5.08792011129006e-07	0.493383321730273
1.13156111829725e-06	0.686682573151136
-7.62548186229299e-08	0.591661560111789
9.02412350348915e-08	0.640500987114673
-4.93820453373220e-08	0.605198308688871
1.41053688284239e-06	0.833894314681969
-7.37191234768135e-07	0.746997837242161
3.54038375034479e-07	0.828395483449679
-4.14812053021871e-07	0.712018711743820
-4.47745604734922e-08	0.802279120878510
-1.02633279337835e-07	0.799940167534040
2.86091284529828e-07	0.919750842112781
3.93978950967990e-07	0.936516618390058
1.22360185948102e-06	0.959541379134676
4.89664979385246e-07	1.04724564592808
-4.78306635018031e-07	0.973984275061440
1.26052479063396e-06	1.11389537635177
6.18765072907352e-08	1.08910932513529
3.72726971957277e-07	1.11165638610382
3.40947818285321e-07	1.14135547583073
-1.47229480048449e-08	1.06928184799600
1.65431687840863e-07	1.10717204501981
-1.85035160434026e-07	1.03465819036567
1.95510737865833e-07	0.254199715903696
-9.41856558811980e-07	-1.37462479607017
7.04784360897743e-07	-2.32281014082482
-4.26958968357521e-07	-2.76339216932865
1.18699468515076e-07	-2.40927325497887
-3.01764453578123e-07	-2.13716721741881
9.74974345967964e-08	-1.81944490784679
2.00549491649393e-07	-1.93931949358558
1.69364179130727e-07	-2.12267974755483
4.40196625630761e-07	-2.10100584109742
4.20427750862382e-07	-2.01720386015268
5.29613357464932e-07	-1.85094803851387
2.84935098217302e-07	-1.86775059274247
1.00411822188902e-07	-1.86126370425664
5.01758548236413e-07	-1.91324786474200
2.36973654193903e-07	-1.83520281383822
-7.13621197450604e-07	-1.89100863189703
3.21854733491008e-07	-1.79085639682849
3.78185542665501e-07	-1.76594249063159
-4.31459584674676e-07	-1.84377297958220
1.63162058503871e-06	-1.67115081415467
-1.48499198943248e-07	-1.65018067983989
-9.01206113651794e-08	-1.70674478200825
1.43911857635128e-07	-1.47005599562124
-1.46163823246714e-06	-1.57937118620895
7.34991800715843e-08	-1.46969628507502
3.28865715677395e-07	-1.45992936293977
7.20340710468277e-07	-1.43051804488704
