Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00001415	25.943	-0.005457
0.00001132	25.796	-0.003638
0.00000707	25.5738	-0.001819
0.00000342	25.3516	0
0.00000115	25.1634	-0.001819
0.00000022	25.017	-0.005457
0.0000007	24.921	-0.007276
0.00000152	24.8737	-0.007276
0.00000139	24.8523	-0.007276
0.00000075	24.8431	-0.005457
0.00000051	24.8462	-0.001819
0.00000048	24.8553	0
0.00000013	24.8613	0
-0.0000008	24.867	0
-0.00000213	24.8785	0.001819
-0.00000344	24.8866	0.003638
-0.00000453	24.8891	0.003638
-0.0000051	24.9	0.003638
-0.00000507	24.918	0.003638
-0.00000414	24.9344	0.001819
-0.00000234	24.9426	0
-0.00000069	24.9361	0
0.00000024	24.9253	-0.001819
0.00000049	24.9235	-0.001819
-0.00000013	24.9242	-0.001819
-0.00000163	24.9215	0
-0.00000282	24.9196	0.001819
-0.00000259	24.9162	0.001819
-0.00000183	24.9057	0.001819
-0.00000167	24.8955	0
-0.00000219	24.8918	0
-0.00000305	24.8898	0
-0.00000385	24.8868	0
-0.00000427	24.8882	0
-0.00000441	24.8939	-0.001819
-0.00000425	24.8941	-0.001819
-0.0000034	24.8914	0
-0.0000018	24.8877	0.001819
-0.00000055	24.8774	0.005457
-0.0000003	24.8678	0.005457
-0.00000025	24.8622	0.003638
0.00000029	24.8573	0.003638
0.00000158	24.8582	0.003638
0.00000327	24.8665	0.003638
0.00000475	24.8749	0.003638
0.00000536	24.8799	0.003638
0.00000477	24.8821	0.001819
0.00000351	24.8825	0.001819
0.00000144	24.884	0.001819
-0.0000013	24.8858	0
-0.00000266	24.8829	0
-0.00000212	24.8804	0
-0.00000115	24.8854	0.001819
-0.0000001	24.8957	0.001819
0.00000098	24.9027	0.003638
0.00000132	24.9021	0.005457
0.0000009	24.9023	0.005457
0.00000063	24.9074	0.005457
0.00000084	24.9141	0.003638
0.00000097	24.9183	0.003638
0.00000024	24.916	0.001819
-0.0000011	24.9083	0.001819
-0.00000162	24.9016	0.001819
-0.00000072	24.8987	0.001819
0.0000003	24.8961	0
0.00000044	24.8918	-0.001819
0.00000041	24.8873	-0.001819
0.00000022	24.8857	-0.003638
-0.00000062	24.8902	-0.003638
-0.00000136	24.8973	-0.003638
-0.00000137	24.9023	-0.003638
-0.00000131	24.9077	-0.001819
-0.00000185	24.9122	0
-0.00000192	24.9133	0
-0.00000104	24.9125	-0.001819
-0.00000118	24.9062	-0.003638
-0.00000299	24.8911	-0.003638
-0.00000489	24.8718	-0.003638
-0.00000557	24.8607	-0.005457
-0.00000508	24.8648	-0.003638
-0.00000424	24.8713	-0.003638
-0.00000315	24.8734	-0.001819
-0.00000247	24.8751	0
-0.00000293	24.8738	0
-0.00000401	24.8713	0
-0.00000519	24.871	0
-0.00000634	24.8741	-0.001819
-0.0000067	24.8831	-0.003638
-0.00000548	24.8936	-0.005457
-0.00000363	24.8963	-0.007276
-0.00000218	24.8876	-0.007276
-0.00000126	24.8722	-0.007276
-0.00000088	24.8582	-0.005457
-0.00000055	24.8497	-0.003638
-0.0000005	24.8455	-0.003638
-0.00000112	24.8418	-0.005457
-0.00000063	24.8343	-0.005457
0.00000118	24.8218	-0.003638
0.00000208	24.8085	-0.001819
0.00000195	24.8016	0
0.00000102	24.8015	0.001819
-0.00000054	24.8048	0.003638
-0.00000128	24.8071	0.003638
-0.00000118	24.8061	0.005457
-0.00000124	24.8013	0.007276
-0.00000103	24.7931	0.007276
0.00000012	24.7822	0.005457
0.00000113	24.7647	0.001819
0.00000123	24.7374	0
0.00000098	24.7051	0
0.0000004	24.6777	0
-0.00000034	24.6527	0.001819
-0.00000096	24.6239	0.001819
-0.00000125	24.5957	0
-0.00000123	24.5701	0
-0.0000015	24.5478	-0.001819
-0.00000222	24.5287	0
-0.00000226	24.5097	0
-0.00000127	24.4917	0.001819
-0.00000057	24.477	0
-0.00000041	24.4665	-0.001819
0.00000015	24.4599	-0.003638
0.00000145	24.4518	-0.005457
0.00000269	24.4398	-0.005457
0.00000294	24.4252	-0.005457
0.00000228	24.4073	-0.005457
0.00000133	24.3883	-0.003638
0.00000081	24.3695	-0.001819
0.0000006	24.3495	0
0.00000029	24.3275	0
-0.00000018	24.3058	0.001819
-0.00000054	24.2878	0.003638
-0.00000084	24.2769	0.003638
-0.0000016	24.2713	0.003638
-0.00000175	24.2672	0
-0.00000108	24.2668	0
-0.00000027	24.2662	-0.001819
0.00000105	24.261	-0.001819
0.00000209	24.2566	-0.001819
0.00000221	24.2511	-0.001819
0.00000246	24.2368	-0.001819
0.00000321	24.2159	0
0.00000357	24.1948	0
0.0000032	24.1747	0
0.00000273	24.1561	0
0.00000221	24.1438	0
0.00000082	24.1365	-0.001819
-0.00000116	24.1262	-0.003638
-0.00000213	24.1138	-0.003638
-0.00000159	24.1071	-0.003638
-0.00000033	24.1066	-0.003638
0.00000073	24.1117	-0.001819
0.00000054	24.1211	-0.001819
-0.00000056	24.1265	0.001819
-0.00000141	24.1245	0.003638
-0.00000155	24.1257	0.005457
-0.0000014	24.1376	0.007276
-0.00000156	24.153	0.007276
-0.00000207	24.1656	0.007276
-0.00000253	24.1721	0.005457
-0.00000228	24.1745	0.003638
-0.0000014	24.1838	0
-0.00000118	24.1995	-0.001819
-0.00000217	24.2113	-0.003638
-0.00000323	24.219	-0.003638
-0.0000032	24.2282	-0.003638
-0.00000241	24.2389	-0.005457
-0.00000189	24.2508	-0.007276
-0.00000199	24.2614	-0.007276
-0.00000292	24.2627	-0.007276
-0.00000404	24.2589	-0.005457
-0.00000411	24.2624	-0.005457
-0.00000388	24.2736	-0.007276
-0.00000428	24.2868	-0.005457
-0.00000452	24.2966	-0.001819
-0.00000457	24.2983	0
-0.00000474	24.2912	0
-0.00000464	24.2738	0
-0.00000476	24.2518	0
-0.00000473	24.2425	0
-0.00000338	24.2551	0
-0.00000142	24.277	-0.001819
0.00000013	24.2886	-0.003638
0.00000104	24.2837	-0.005457
0.00000109	24.2732	-0.007276
0.00000031	24.2707	-0.007276
-0.00000068	24.275	-0.007276
-0.00000135	24.2799	-0.005457
-0.00000175	24.2913	-0.005457
-0.00000125	24.3087	-0.007276
-0.00000005	24.3217	-0.007276
-0.00000001	24.3303	-0.009095
-0.00000057	24.3376	-0.009095
-0.00000024	24.3453	-0.007276
0.00000024	24.3611	-0.005457
0.00000033	24.3922	-0.003638
0.00000054	24.4351	-0.001819
0.0000004	24.4887	-0.001819
-0.0000002	24.5573	-0.001819
-0.00000031	24.6361	-0.001819
-0.00000018	24.7234	-0.003638
0.00000011	24.819	-0.005457
0.00000101	24.9054	-0.003638
0.0000023	24.9705	0
0.00000322	25.0208	0.001819
0.00000354	25.0576	0.003638
0.00000359	25.0743	0.005457
0.00000376	25.0688	0.003638
0.00000444	25.0459	0.001819
0.00000525	25.0155	0.001819
0.00000547	24.9886	0
0.00000496	24.9702	-0.001819
0.00000423	24.9547	-0.001819
0.00000324	24.9386	-0.001819
0.00000186	24.927	-0.001819
0.00000046	24.9197	-0.003638
-0.00000045	24.9112	-0.005457
-0.00000029	24.9014	-0.003638
0.00000061	24.8924	0
0.00000199	24.8831	0.003638
0.0000037	24.8705	0.003638
0.00000488	24.8582	0.003638
0.00000476	24.8505	0.003638
0.00000354	24.8463	0.001819
0.00000237	24.8447	0.001819
0.00000151	24.847	-0.001819
0.0000008	24.8555	-0.003638
-0.00000014	24.8659	-0.003638
-0.00000163	24.8709	-0.003638
-0.0000032	24.87	0
-0.00000441	24.8706	0.001819
-0.00000389	24.8766	0.001819
-0.00000143	24.8799	0.001819
0.00000027	24.8742	0.003638
0.00000029	24.8649	0.005457
0.00000007	24.8574	0.005457
-0.00000041	24.8523	0.005457
-0.00000181	24.8491	0.003638
-0.00000355	24.8451	0
-0.00000498	24.8414	-0.001819
-0.00000556	24.843	-0.005457
-0.00000484	24.8496	-0.007276
-0.00000349	24.853	-0.007276
-0.00000264	24.845	-0.007276
-0.00000244	24.8324	-0.005457
-0.00000243	24.8241	-0.005457
-0.00000281	24.8216	-0.003638
-0.00000334	24.827	-0.001819
-0.00000285	24.8357	-0.001819
-0.00000164	24.8424	-0.001819
-0.00000114	24.847	-0.003638
-0.0000019	24.8498	-0.003638
-0.00000364	24.8511	0
-0.00000552	24.8561	0.003638
-0.00000631	24.8666	0.003638
-0.00000547	24.8737	0.003638
-0.00000326	24.8709	0.003638
-0.00000108	24.8637	0.003638
-0.00000017	24.8623	0.001819
0.00000009	24.8687	0
0.00000043	24.8758	-0.001819
0.00000065	24.8774	-0.003638
0.0000002	24.8736	-0.005457
-0.00000094	24.8654	-0.003638
-0.00000133	24.8517	-0.001819
-0.00000008	24.8374	0
0.00000147	24.8321	0.001819
0.00000222	24.8368	0.001819
0.00000246	24.839	0
0.00000148	24.8327	0.001819
-0.00000106	24.8251	0.003638
-0.00000353	24.8182	0.003638
-0.00000475	24.8106	0.001819
-0.0000046	24.8108	0
-0.00000366	24.8196	-0.001819
-0.00000265	24.8244	-0.005457
-0.00000157	24.824	-0.005457
-0.00000038	24.8235	-0.005457
0.00000078	24.823	-0.005457
0.00000145	24.8224	-0.005457
0.00000174	24.822	-0.007276
0.00000214	24.8217	-0.007276
0.00000226	24.8215	-0.009095
0.00000157	24.8167	-0.007276
0.00000004	24.8034	-0.005457
