Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.0000681	27.1393	0.040018
0.00005797	26.7586	0.032742
0.00004216	26.1885	0.021828
0.00002581	25.612	0.012733
0.00001252	25.1273	0.003638
0.00000306	24.7697	-0.001819
-0.00000296	24.5411	-0.003638
-0.00000583	24.419	-0.005457
-0.00000716	24.3673	-0.005457
-0.00000798	24.3557	-0.005457
-0.00000816	24.3644	-0.003638
-0.00000815	24.3843	-0.001819
-0.00000788	24.4089	0
-0.00000705	24.4319	0
-0.00000627	24.4526	0
-0.00000534	24.4709	-0.001819
-0.00000392	24.4851	-0.003638
-0.00000264	24.4972	-0.005457
-0.00000179	24.5085	-0.005457
-0.00000161	24.5174	-0.005457
-0.00000203	24.5259	-0.007276
-0.00000262	24.5419	-0.005457
-0.00000319	24.5662	-0.005457
-0.00000384	24.5884	-0.005457
-0.00000483	24.6058	-0.005457
-0.00000628	24.6225	-0.005457
-0.00000788	24.6406	-0.003638
-0.00000881	24.6634	-0.001819
-0.00000868	24.6963	0.001819
-0.00000761	24.736	0.001819
-0.00000608	24.7749	0.001819
-0.00000503	24.8207	0.001819
-0.00000498	24.8807	0
-0.00000513	24.9475	-0.001819
-0.00000482	25.0137	-0.003638
-0.00000458	25.0779	-0.003638
-0.00000474	25.1418	-0.003638
-0.00000474	25.2066	-0.003638
-0.00000433	25.2657	-0.001819
-0.00000408	25.3166	-0.001819
-0.0000041	25.3596	0
-0.00000411	25.3868	0
-0.00000431	25.3992	-0.001819
-0.0000043	25.4018	-0.001819
-0.00000327	25.3922	0
-0.00000198	25.3733	0
-0.00000143	25.3503	0
-0.00000139	25.3222	0
-0.00000165	25.2914	0
-0.00000203	25.2644	-0.001819
-0.00000274	25.2415	-0.005457
-0.00000395	25.2222	-0.007276
-0.00000498	25.2033	-0.005457
-0.00000496	25.181	-0.003638
-0.00000335	25.1583	-0.001819
-0.00000096	25.1346	-0.001819
0.00000058	25.1097	-0.001819
0.00000042	25.0928	-0.003638
-0.00000078	25.0873	-0.003638
-0.00000188	25.0886	-0.005457
-0.00000271	25.0956	-0.005457
-0.00000329	25.1066	-0.003638
-0.00000315	25.1178	-0.003638
-0.00000244	25.1251	-0.001819
-0.00000246	25.1267	-0.001819
-0.00000312	25.1298	-0.001819
-0.00000273	25.1355	-0.003638
-0.00000118	25.137	-0.007276
0.00000013	25.1338	-0.009095
-0.00000006	25.1263	-0.010914
-0.00000139	25.1225	-0.010914
-0.00000204	25.1281	-0.009095
-0.00000166	25.1308	-0.009095
-0.00000092	25.1269	-0.007276
-0.00000039	25.1226	-0.005457
-0.00000053	25.1142	-0.003638
-0.00000043	25.1028	-0.001819
0.00000044	25.1009	0
0.0000014	25.1087	0.001819
0.00000176	25.1134	0.003638
0.00000099	25.111	0.003638
-0.00000048	25.101	0.003638
-0.00000164	25.0841	0.001819
-0.0000022	25.071	0.001819
-0.00000277	25.0666	0
-0.00000333	25.0675	0
-0.00000382	25.0664	0
-0.00000489	25.0527	0
-0.00000574	25.0234	0.001819
-0.00000539	24.9886	0
-0.00000491	24.9636	0
-0.00000537	24.9477	-0.001819
-0.00000597	24.9301	-0.003638
-0.00000614	24.9098	-0.005457
-0.00000598	24.8892	-0.003638
-0.00000506	24.8649	-0.001819
-0.00000327	24.8337	-0.001819
-0.00000133	24.795	-0.003638
-0.00000031	24.7494	-0.005457
-0.00000065	24.6985	-0.007276
-0.00000189	24.6441	-0.007276
-0.00000319	24.5876	-0.005457
-0.00000345	24.5281	-0.005457
-0.00000292	24.4678	-0.003638
-0.00000308	24.4123	-0.001819
-0.00000394	24.3635	0
-0.0000049	24.3193	0
-0.00000546	24.2709	0
-0.00000504	24.2192	-0.003638
-0.00000435	24.1719	-0.005457
-0.00000454	24.13	-0.009095
-0.00000537	24.0976	-0.010914
-0.00000647	24.078	-0.012733
-0.00000795	24.0662	-0.014552
-0.00000957	24.0558	-0.016371
-0.0000108	24.0453	-0.016371
