Rotation	Base moment [kN.m]	Axial Disp. [mm]
-0.00000176	25.5272	-0.023647
-0.00000199	25.5176	-0.023647
-0.00000113	25.516	-0.023647
0.00000125	25.5185	-0.025466
0.00000427	25.5183	-0.025466
0.00000614	25.5096	-0.023647
0.00000646	25.4929	-0.021828
0.00000605	25.4728	-0.020009
0.00000472	25.4516	-0.020009
0.00000249	25.4378	-0.021828
0.00000138	25.4326	-0.023647
0.00000181	25.4262	-0.025466
0.00000223	25.4157	-0.027285
0.00000254	25.4049	-0.027285
0.00000279	25.3958	-0.027285
0.00000296	25.3868	-0.027285
0.00000379	25.3725	-0.029104
0.00000477	25.3531	-0.029104
0.00000458	25.3317	-0.029104
0.00000382	25.3086	-0.029104
0.00000388	25.2865	-0.029104
0.00000465	25.2684	-0.030923
0.00000555	25.2532	-0.034561
0.00000593	25.2375	-0.034561
0.00000526	25.2213	-0.034561
0.00000425	25.2025	-0.034561
0.00000347	25.181	-0.03638
0.00000248	25.1687	-0.03638
0.00000142	25.1679	-0.03638
0	25.1658	-0.040018
-0.00000206	25.156	-0.041837
-0.00000354	25.1352	-0.043656
-0.00000432	25.1009	-0.045475
-0.00000482	25.0605	-0.047294
-0.00000433	25.0236	-0.049113
-0.00000331	24.9952	-0.050932
-0.00000326	24.9713	-0.050932
-0.00000469	24.9462	-0.050932
-0.00000637	24.9223	-0.050932
-0.00000721	24.9007	-0.049113
-0.00000807	24.8817	-0.047294
-0.00000842	24.8672	-0.045475
-0.00000669	24.8527	-0.045475
-0.0000042	24.8285	-0.045475
-0.00000249	24.7943	-0.045475
-0.00000163	24.7583	-0.047294
-0.00000113	24.7294	-0.049113
-0.00000119	24.7084	-0.050932
-0.00000235	24.686	-0.05457
-0.00000368	24.6536	-0.05457
-0.00000443	24.6166	-0.052751
-0.00000504	24.592	-0.052751
-0.00000552	24.5808	-0.056389
-0.00000626	24.5694	-0.060027
-0.00000743	24.5542	-0.063665
-0.0000079	24.5373	-0.063665
-0.00000731	24.5188	-0.065484
-0.00000668	24.4956	-0.067303
-0.00000711	24.4692	-0.069122
-0.00000759	24.4454	-0.070941
-0.0000069	24.4242	-0.070941
-0.00000588	24.4058	-0.069122
-0.0000047	24.39	-0.069122
-0.00000333	24.373	-0.070941
-0.00000243	24.3509	-0.07276
-0.00000243	24.3204	-0.074579
-0.00000268	24.2832	-0.074579
-0.00000241	24.2468	-0.074579
-0.00000239	24.2211	-0.076398
-0.00000346	24.2142	-0.078217
-0.00000579	24.2189	-0.076398
-0.00000878	24.2199	-0.074579
-0.00001063	24.2095	-0.074579
-0.00001022	24.1884	-0.074579
-0.00000824	24.1631	-0.076398
-0.00000625	24.1349	-0.076398
-0.00000543	24.105	-0.078217
-0.00000605	24.0791	-0.080036
-0.00000695	24.0601	-0.080036
-0.00000622	24.0489	-0.081855
-0.00000451	24.0435	-0.083674
-0.00000365	24.043	-0.083674
-0.00000385	24.0447	-0.083674
-0.00000443	24.0436	-0.085493
-0.00000516	24.0385	-0.085493
-0.0000059	24.0333	-0.087312
-0.00000594	24.0314	-0.089131
-0.00000509	24.0281	-0.089131
-0.00000422	24.0207	-0.09095
-0.00000427	24.0137	-0.092769
-0.00000446	24.0103	-0.094588
-0.00000425	24.0097	-0.094588
-0.00000518	24.0122	-0.094588
-0.00000745	24.0177	-0.096407
-0.00000885	24.0246	-0.098226
-0.00000815	24.0314	-0.100045
-0.00000642	24.0325	-0.100045
-0.00000444	24.0282	-0.101864
-0.00000314	24.0257	-0.103683
-0.00000447	24.0238	-0.103683
-0.00000776	24.0222	-0.103683
-0.0000099	24.024	-0.103683
-0.00000989	24.0218	-0.105502
-0.00000805	24.0118	-0.105502
-0.00000462	24.0034	-0.10914
-0.00000177	24.0005	-0.110959
-0.00000128	23.9998	-0.112778
-0.00000239	23.998	-0.112778
-0.00000432	23.9916	-0.114597
-0.0000073	23.9812	-0.114597
-0.00001066	23.9709	-0.114597
-0.00001262	23.9653	-0.116416
-0.00001227	23.9612	-0.116416
-0.00001036	23.9494	-0.116416
-0.00000798	23.9329	-0.118235
-0.00000603	23.9165	-0.118235
-0.00000499	23.9011	-0.120054
-0.00000477	23.8916	-0.121873
-0.00000562	23.8885	-0.121873
-0.00000764	23.888	-0.120054
-0.00000997	23.8894	-0.116416
-0.00001223	23.8931	-0.116416
-0.00001433	23.8947	-0.114597
-0.00001421	23.8926	-0.116416
-0.00001049	23.8896	-0.120054
-0.00000597	23.8881	-0.123692
-0.00000289	23.8894	-0.123692
-0.00000136	23.8897	-0.123692
-0.00000199	23.8849	-0.125511
-0.00000408	23.8736	-0.12733
-0.00000594	23.8634	-0.129149
-0.00000661	23.86	-0.130968
-0.0000066	23.8584	-0.130968
-0.00000707	23.856	-0.130968
-0.0000076	23.8534	-0.130968
-0.00000879	23.8503	-0.130968
-0.0000112	23.8477	-0.130968
-0.00001221	23.8399	-0.130968
-0.00001092	23.8217	-0.134606
-0.00000941	23.7997	-0.136425
-0.00000824	23.7833	-0.138244
-0.00000708	23.7797	-0.140063
-0.00000569	23.7888	-0.138244
-0.00000441	23.8039	-0.134606
-0.0000046	23.8171	-0.132787
-0.00000545	23.8221	-0.130968
-0.00000616	23.8216	-0.129149
-0.00000694	23.8246	-0.129149
-0.00000732	23.831	-0.132787
-0.00000748	23.8364	-0.134606
-0.00000804	23.845	-0.136425
-0.00000889	23.8652	-0.138244
-0.00000952	23.8976	-0.140063
-0.00000996	23.9328	-0.140063
-0.0000106	23.9701	-0.140063
-0.00001164	24.0069	-0.140063
-0.00001205	24.0376	-0.141882
-0.00001022	24.0739	-0.141882
-0.00000742	24.1206	-0.143701
-0.0000074	24.1715	-0.147339
-0.00001068	24.2301	-0.147339
-0.00001385	24.2927	-0.147339
-0.00001506	24.3523	-0.14552
-0.00001472	24.4147	-0.14552
-0.00001333	24.4778	-0.14552
-0.0000118	24.5321	-0.14552
-0.00001077	24.5788	-0.143701
-0.00001007	24.6194	-0.143701
-0.00000991	24.6531	-0.141882
-0.00001069	24.682	-0.140063
-0.0000115	24.7063	-0.141882
-0.00001168	24.72	-0.143701
-0.00001185	24.719	-0.14552
-0.00001185	24.7111	-0.14552
-0.00001151	24.7001	-0.14552
-0.00001153	24.684	-0.14552
-0.00001178	24.6675	-0.149158
-0.00001119	24.6541	-0.150977
-0.00000931	24.6403	-0.152796
-0.00000672	24.6263	-0.150977
-0.00000464	24.6129	-0.149158
-0.00000425	24.598	-0.14552
-0.00000568	24.5824	-0.143701
-0.00000785	24.5711	-0.14552
-0.00000961	24.5659	-0.147339
-0.00000931	24.5628	-0.150977
-0.00000628	24.5591	-0.154615
-0.00000346	24.5548	-0.158253
-0.00000309	24.5486	-0.160072
-0.00000349	24.5407	-0.160072
-0.00000245	24.5288	-0.158253
-0.00000035	24.5091	-0.156434
0.00000046	24.4855	-0.154615
-0.00000114	24.4617	-0.152796
-0.00000409	24.4378	-0.152796
-0.00000688	24.4156	-0.152796
-0.00000837	24.405	-0.154615
-0.00000853	24.4093	-0.154615
-0.00000784	24.4155	-0.158253
-0.00000636	24.4145	-0.161891
