Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00003824	27.9249	0.03638
0.00003246	27.4734	0.029104
0.00002341	26.8028	0.020009
0.00001356	26.1278	0.010914
0.0000049	25.5548	0.003638
-0.00000149	25.1266	-0.001819
-0.00000524	24.8433	-0.003638
-0.00000652	24.686	-0.003638
-0.00000579	24.6241	-0.003638
-0.00000385	24.6168	-0.003638
-0.00000167	24.6341	-0.003638
0.00000062	24.6637	-0.003638
0.00000246	24.6969	-0.003638
0.00000322	24.7289	-0.005457
0.00000338	24.7572	-0.005457
0.0000029	24.7766	-0.005457
0.00000144	24.7905	-0.005457
-0.00000022	24.8062	-0.005457
-0.00000161	24.8179	-0.005457
-0.00000303	24.8234	-0.003638
-0.00000407	24.8271	-0.003638
-0.00000442	24.8246	-0.003638
-0.00000456	24.8147	-0.003638
-0.0000049	24.8027	-0.001819
-0.00000514	24.7916	0.001819
-0.00000486	24.7828	0.003638
-0.00000447	24.7811	0.005457
-0.00000404	24.7927	0.005457
-0.00000311	24.8091	0.005457
-0.00000181	24.8162	0.003638
-0.00000102	24.8127	0.003638
-0.00000106	24.8065	0
-0.00000117	24.8001	-0.001819
-0.00000161	24.7901	-0.003638
-0.00000297	24.7775	-0.007276
-0.00000464	24.761	-0.009095
-0.00000603	24.7383	-0.009095
-0.00000711	24.7184	-0.009095
-0.00000719	24.7079	-0.007276
-0.00000603	24.7018	-0.005457
-0.00000457	24.6991	-0.003638
-0.00000299	24.703	-0.003638
-0.00000155	24.7097	-0.001819
-0.00000082	24.7145	-0.001819
-0.0000004	24.7196	-0.001819
-0.00000046	24.7241	0
-0.00000112	24.7206	0.001819
-0.00000148	24.7067	0.003638
-0.00000151	24.6897	0.001819
-0.00000207	24.6762	0
-0.00000244	24.6669	0
-0.00000118	24.6568	0
0.00000068	24.6411	0
0.00000136	24.6226	0
0.00000061	24.6033	0
-0.00000138	24.5845	0
-0.00000401	24.5714	-0.001819
-0.00000552	24.5657	-0.001819
-0.00000518	24.5626	0
-0.00000425	24.5613	0
-0.00000341	24.5657	0.001819
-0.00000172	24.5655	0.001819
0.00000016	24.5491	0.003638
0.00000032	24.5247	0.005457
-0.0000011	24.5002	0.005457
-0.00000285	24.4775	0.007276
-0.0000043	24.457	0.005457
-0.00000593	24.4387	0.007276
-0.00000772	24.4245	0.007276
-0.00000831	24.4102	0.003638
-0.00000745	24.3892	0
-0.00000597	24.3636	-0.001819
-0.00000462	24.3374	-0.001819
-0.00000365	24.3084	0.001819
-0.00000263	24.2782	0.003638
-0.00000177	24.2501	0.003638
-0.00000125	24.2209	0.003638
-0.00000061	24.1891	0.001819
-0.00000013	24.1566	0
-0.00000014	24.1268	-0.003638
-0.00000012	24.1033	-0.005457
-0.00000056	24.0822	-0.005457
-0.00000211	24.0588	-0.005457
-0.00000401	24.0358	-0.003638
-0.00000501	24.0146	-0.003638
-0.00000456	23.9933	-0.005457
-0.00000383	23.9709	-0.003638
-0.00000343	23.9471	-0.003638
-0.00000257	23.9241	-0.003638
-0.00000113	23.9076	-0.003638
0.00000053	23.8973	-0.003638
0.00000204	23.8849	-0.003638
0.00000247	23.8665	-0.005457
0.00000176	23.8435	-0.005457
0.00000129	23.8196	-0.007276
0.00000123	23.7946	-0.007276
0.00000109	23.7663	-0.003638
0.00000079	23.7385	-0.001819
0.00000059	23.7112	0
0.00000069	23.6816	0.001819
0.00000049	23.6535	0.001819
0.00000004	23.6331	0.003638
0.00000007	23.6177	0.003638
-0.00000022	23.5959	0.005457
-0.00000197	23.5651	0.007276
-0.00000415	23.5348	0.005457
-0.00000529	23.5143	0.003638
-0.00000513	23.4977	0
-0.00000381	23.4744	-0.001819
-0.00000163	23.4493	-0.003638
0.00000029	23.4251	-0.003638
0.00000077	23.3982	-0.003638
-0.00000016	23.3766	-0.003638
-0.00000164	23.366	-0.003638
-0.00000209	23.3583	-0.001819
-0.00000101	23.3488	0
0.00000042	23.3444	0
0.00000142	23.3458	0
0.00000182	23.3453	0.001819
0.00000111	23.3416	0.005457
-0.00000079	23.3413	0.007276
-0.00000231	23.3498	0.009095
-0.00000224	23.3662	0.009095
-0.00000151	23.3861	0.009095
-0.00000157	23.3998	0.007276
-0.00000205	23.4057	0.007276
-0.00000216	23.4045	0.003638
-0.0000024	23.393	0
-0.00000268	23.3781	-0.003638
-0.0000025	23.3639	-0.005457
-0.00000186	23.3501	-0.005457
-0.00000148	23.3386	-0.003638
-0.00000151	23.3278	-0.003638
-0.00000109	23.3217	-0.003638
0.00000043	23.3284	-0.003638
0.00000207	23.3429	-0.003638
0.00000202	23.3541	-0.001819
0.00000063	23.3594	-0.001819
-0.00000043	23.3586	-0.001819
-0.00000071	23.348	-0.001819
-0.0000009	23.3294	-0.001819
-0.00000141	23.3098	-0.001819
-0.00000316	23.2951	-0.003638
-0.00000555	23.2898	-0.003638
-0.00000654	23.2879	-0.003638
-0.00000626	23.2836	-0.003638
-0.00000503	23.2835	-0.005457
-0.00000322	23.2877	-0.007276
-0.00000179	23.2846	-0.009095
-0.00000123	23.2688	-0.012733
-0.00000168	23.2515	-0.014552
-0.00000267	23.2407	-0.016371
-0.00000362	23.2328	-0.01819
-0.00000452	23.2278	-0.016371
-0.00000545	23.2273	-0.016371
-0.00000596	23.2246	-0.014552
-0.0000058	23.2142	-0.014552
-0.00000596	23.2016	-0.016371
-0.00000705	23.1923	-0.020009
-0.00000791	23.1863	-0.023647
-0.00000752	23.1829	-0.025466
-0.00000652	23.1771	-0.027285
-0.00000707	23.1685	-0.029104
-0.00000895	23.1642	-0.032742
-0.00000927	23.1609	-0.038199
-0.000008	23.152	-0.041837
-0.00000664	23.1368	-0.043656
-0.00000519	23.1185	-0.043656
-0.00000395	23.1062	-0.043656
-0.00000329	23.1034	-0.043656
-0.00000297	23.101	-0.043656
-0.00000336	23.0928	-0.045475
-0.00000446	23.0829	-0.047294
-0.00000514	23.0737	-0.050932
-0.00000454	23.0619	-0.050932
-0.00000318	23.051	-0.050932
-0.00000234	23.0423	-0.050932
-0.00000222	23.0332	-0.050932
-0.00000203	23.0253	-0.052751
-0.00000145	23.0196	-0.052751
-0.00000037	23.0163	-0.05457
0.00000153	23.0129	-0.05457
0.00000403	23.0122	-0.056389
0.00000548	23.0178	-0.058208
0.00000509	23.0207	-0.056389
0.00000384	23.0165	-0.05457
0.00000234	23.0096	-0.05457
0.00000003	23.0002	-0.05457
-0.00000309	22.9884	-0.056389
-0.00000534	22.9748	-0.056389
-0.0000059	22.9582	-0.056389
-0.00000526	22.9457	-0.056389
-0.00000428	22.9421	-0.056389
-0.00000343	22.9433	-0.056389
-0.00000188	22.9492	-0.058208
0.00000011	22.9592	-0.060027
0.00000139	22.9675	-0.061846
0.00000226	22.9763	-0.061846
0.00000299	22.9906	-0.061846
0.00000309	23.0046	-0.060027
0.00000264	23.0183	-0.058208
0.00000216	23.0343	-0.058208
0.00000143	23.0444	-0.058208
0.00000024	23.0447	-0.058208
-0.00000037	23.0398	-0.061846
0.00000031	23.0381	-0.063665
0.00000168	23.0476	-0.065484
0.00000331	23.0594	-0.067303
0.00000472	23.0617	-0.069122
0.00000436	23.0602	-0.067303
0.00000211	23.0628	-0.065484
-0.00000029	23.0676	-0.063665
-0.00000191	23.0684	-0.063665
-0.00000194	23.0647	-0.065484
-0.00000093	23.0617	-0.067303
-0.00000108	23.061	-0.069122
-0.00000209	23.0611	-0.070941
-0.00000325	23.0645	-0.070941
-0.00000476	23.0693	-0.070941
-0.00000552	23.0739	-0.070941
-0.00000565	23.0823	-0.069122
