Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00063356	29.6775	0.660297
0.00053631	28.9555	0.558433
0.00039076	27.8728	0.407456
0.00024424	26.7813	0.25466
0.00012152	25.8635	0.12733
0.00003186	25.184	0.032742
-0.00002629	24.739	-0.027285
-0.00005923	24.488	-0.060027
-0.00007375	24.3781	-0.07276
-0.00007678	24.3587	-0.074579
-0.00007355	24.3892	-0.069122
-0.00006816	24.4404	-0.061846
-0.00006305	24.496	-0.05457
-0.00005722	24.5447	-0.047294
-0.00004961	24.5796	-0.043656
-0.00004225	24.6039	-0.041837
-0.00003802	24.6209	-0.041837
-0.00003653	24.6289	-0.043656
-0.00003566	24.6354	-0.047294
-0.00003517	24.6493	-0.049113
-0.00003589	24.6624	-0.047294
-0.00003699	24.6708	-0.045475
-0.00003734	24.6799	-0.043656
-0.00003808	24.6879	-0.043656
-0.00003982	24.6895	-0.045475
-0.00004223	24.6874	-0.045475
-0.00004497	24.6816	-0.045475
-0.00004684	24.6724	-0.043656
-0.00004682	24.6698	-0.043656
-0.00004561	24.671	-0.045475
-0.00004499	24.6695	-0.047294
-0.00004495	24.6647	-0.047294
-0.0000439	24.6592	-0.047294
-0.00004186	24.6587	-0.043656
-0.00004017	24.6584	-0.041837
-0.00003935	24.6538	-0.040018
-0.00003901	24.6478	-0.040018
-0.00003845	24.6466	-0.041837
-0.00003738	24.6548	-0.045475
-0.0000368	24.6642	-0.045475
-0.00003822	24.666	-0.045475
-0.00004055	24.6633	-0.043656
-0.00004176	24.6634	-0.041837
-0.00004165	24.667	-0.041837
-0.00004095	24.6741	-0.040018
-0.00004023	24.6842	-0.040018
-0.00003993	24.6921	-0.040018
-0.00004019	24.6931	-0.040018
-0.00004004	24.6902	-0.041837
-0.00003872	24.6881	-0.041837
-0.00003718	24.6821	-0.041837
-0.00003643	24.6728	-0.043656
-0.00003501	24.6725	-0.047294
-0.00003276	24.6859	-0.049113
-0.00003183	24.704	-0.049113
-0.00003264	24.7171	-0.047294
-0.00003543	24.7207	-0.045475
-0.00003937	24.7167	-0.041837
-0.00004186	24.7141	-0.040018
-0.0000425	24.7217	-0.040018
-0.00004231	24.7354	-0.041837
-0.00004137	24.7477	-0.041837
-0.00003987	24.7618	-0.041837
-0.00003905	24.779	-0.040018
-0.00004028	24.7951	-0.03638
-0.00004285	24.8103	-0.034561
-0.00004321	24.827	-0.03638
-0.00003992	24.8417	-0.038199
-0.00003524	24.8485	-0.040018
-0.00003238	24.8525	-0.040018
-0.00003334	24.8611	-0.038199
-0.0000369	24.8685	-0.038199
-0.00003956	24.8671	-0.040018
-0.00003908	24.8661	-0.041837
-0.00003746	24.8766	-0.045475
-0.0000373	24.8987	-0.047294
-0.00003753	24.9261	-0.049113
-0.00003695	24.9487	-0.049113
-0.00003669	24.9651	-0.047294
-0.00003756	24.9817	-0.043656
-0.00003818	24.9957	-0.043656
-0.0000373	25.0031	-0.043656
-0.00003598	25.0136	-0.043656
-0.0000351	25.0358	-0.041837
-0.00003497	25.0672	-0.040018
-0.00003551	25.098	-0.040018
-0.00003607	25.1235	-0.040018
-0.00003697	25.1489	-0.041837
-0.00003916	25.1677	-0.043656
-0.00004209	25.1776	-0.041837
-0.00004499	25.1925	-0.041837
-0.00004803	25.2144	-0.041837
-0.00004968	25.234	-0.041837
-0.00004866	25.2471	-0.040018
-0.00004679	25.2638	-0.038199
-0.00004622	25.2908	-0.038199
-0.00004583	25.3231	-0.038199
-0.00004366	25.3573	-0.03638
-0.00004128	25.3912	-0.034561
-0.00004001	25.4239	-0.032742
-0.0000391	25.453	-0.034561
-0.00003876	25.4754	-0.03638
-0.00003989	25.4909	-0.03638
-0.000041	25.5046	-0.038199
-0.00004109	25.5219	-0.038199
-0.00004097	25.5404	-0.038199
-0.00003986	25.5609	-0.040018
-0.00003763	25.5882	-0.041837
-0.00003563	25.6168	-0.043656
-0.00003442	25.6369	-0.045475
-0.0000343	25.6493	-0.045475
-0.00003601	25.6624	-0.043656
-0.00003903	25.6805	-0.043656
-0.00004137	25.7028	-0.041837
-0.00004267	25.7278	-0.040018
-0.0000443	25.7546	-0.040018
-0.00004564	25.7825	-0.040018
-0.00004512	25.8132	-0.041837
-0.0000425	25.8517	-0.043656
-0.00003804	25.8947	-0.045475
-0.0000341	25.9284	-0.045475
-0.00003376	25.9492	-0.045475
-0.00003601	25.9667	-0.043656
-0.00003787	25.9841	-0.041837
-0.00003852	26.0016	-0.040018
-0.00003808	26.0193	-0.038199
-0.00003736	26.0365	-0.038199
-0.00003779	26.0605	-0.038199
-0.00003839	26.0892	-0.040018
-0.00003809	26.1111	-0.040018
-0.00003815	26.1306	-0.040018
-0.00003849	26.159	-0.038199
-0.00003731	26.1919	-0.038199
-0.00003459	26.2195	-0.038199
-0.00003206	26.2443	-0.041837
-0.00003053	26.2658	-0.045475
-0.00002953	26.2798	-0.049113
-0.00002932	26.2899	-0.052751
-0.00002999	26.3008	-0.05457
-0.00003087	26.3146	-0.056389
-0.00003291	26.33	-0.056389
-0.00003529	26.3436	-0.05457
-0.00003592	26.3565	-0.052751
-0.00003663	26.3693	-0.050932
-0.00003953	26.3798	-0.049113
-0.00004328	26.3918	-0.047294
-0.00004536	26.4115	-0.045475
-0.00004535	26.4365	-0.047294
-0.00004405	26.4602	-0.049113
-0.00004184	26.486	-0.047294
-0.00003987	26.52	-0.045475
-0.00003869	26.555	-0.043656
-0.00003698	26.5825	-0.040018
-0.00003381	26.6039	-0.038199
-0.00003116	26.6231	-0.038199
-0.00003188	26.6424	-0.040018
-0.00003389	26.6584	-0.041837
-0.00003463	26.6657	-0.043656
-0.00003532	26.6672	-0.045475
-0.00003618	26.6678	-0.045475
-0.00003757	26.6701	-0.043656
-0.00004008	26.673	-0.043656
-0.00004296	26.6689	-0.043656
-0.00004532	26.6597	-0.043656
-0.00004536	26.6493	-0.043656
-0.00004314	26.6355	-0.041837
-0.00004077	26.6178	-0.040018
-0.00003946	26.6009	-0.038199
-0.00003956	26.5916	-0.03638
-0.0000399	26.5879	-0.034561
-0.00003874	26.5832	-0.034561
-0.00003696	26.5742	-0.032742
-0.00003604	26.5645	-0.032742
-0.00003554	26.5582	-0.032742
