Rotation	Base moment [kN.m]	Axial Disp. [mm]
-0.00000681	-27.3455	-0.001819
-0.00000684	-27.0094	-0.001819
-0.00000591	-26.509	-0.003638
-0.00000413	-26.0069	-0.003638
-0.00000188	-25.5889	-0.003638
0.00000079	-25.2876	-0.003638
0.00000305	-25.0984	-0.003638
0.00000367	-24.9912	-0.003638
0.00000262	-24.9347	-0.003638
0.00000079	-24.9136	-0.005457
-0.00000044	-24.9164	-0.005457
-0.00000013	-24.9287	-0.005457
0.00000087	-24.9392	-0.003638
0.00000121	-24.947	-0.003638
0.00000088	-24.9546	-0.003638
0.00000073	-24.9562	-0.001819
0.00000171	-24.9475	-0.001819
0.00000393	-24.9325	0
0.00000541	-24.9192	0.001819
0.00000525	-24.9136	0.001819
0.00000447	-24.9152	0.003638
0.00000314	-24.9202	0.003638
0.00000132	-24.9261	0.005457
-0.00000009	-24.9292	0.007276
-0.00000058	-24.9257	0.007276
-0.00000015	-24.9194	0.005457
0.00000056	-24.9151	0.003638
0.00000039	-24.908	0
-0.00000098	-24.8914	0
-0.0000026	-24.8612	-0.001819
-0.00000318	-24.8197	-0.001819
-0.00000224	-24.7722	0
-0.00000098	-24.7157	0
-0.00000104	-24.6478	0
-0.00000202	-24.5762	0.001819
-0.00000241	-24.5144	0.001819
-0.00000224	-24.4655	0.001819
-0.00000202	-24.4245	0.001819
-0.00000136	-24.3943	0.001819
-0.00000066	-24.3817	0.001819
-0.00000048	-24.3893	0.001819
-0.00000031	-24.4153	0.001819
-0.0000003	-24.4557	0.003638
-0.00000079	-24.5059	0.003638
-0.00000076	-24.5666	0.001819
0.00000047	-24.6365	0
0.00000228	-24.7088	-0.001819
0.00000326	-24.7749	-0.001819
0.00000278	-24.8248	0
0.00000176	-24.8581	0.001819
0.0000011	-24.8773	0.001819
0.00000126	-24.8838	0
0.00000137	-24.8827	-0.001819
0.00000065	-24.8756	0
0.00000069	-24.8619	0
0.00000196	-24.8447	0
0.00000295	-24.831	0.001819
0.00000244	-24.8237	0.003638
0.00000054	-24.8209	0.005457
-0.00000087	-24.8162	0.003638
-0.00000153	-24.8044	0.001819
-0.00000238	-24.7886	0.001819
-0.00000308	-24.7736	0
-0.00000334	-24.7613	0
-0.00000337	-24.7502	-0.001819
-0.00000368	-24.737	-0.001819
-0.00000407	-24.7225	-0.001819
-0.00000394	-24.7074	-0.001819
-0.0000035	-24.6898	-0.001819
-0.00000329	-24.6693	-0.001819
-0.00000313	-24.6438	-0.001819
-0.0000019	-24.6152	-0.001819
0.00000036	-24.5874	-0.003638
0.00000235	-24.5624	-0.003638
0.00000372	-24.5451	-0.003638
0.00000453	-24.5325	-0.001819
0.00000464	-24.5128	0.001819
0.00000428	-24.4838	0.005457
0.00000334	-24.4591	0.009095
0.00000212	-24.4523	0.009095
0.00000178	-24.4603	0.007276
0.00000247	-24.4746	0.003638
0.00000341	-24.4875	0
0.00000421	-24.4975	-0.003638
0.00000479	-24.5091	-0.005457
0.00000483	-24.5242	-0.005457
0.00000423	-24.5433	-0.005457
0.00000362	-24.5612	-0.005457
0.00000256	-24.5665	-0.005457
0.00000025	-24.5576	-0.005457
-0.00000165	-24.5497	-0.003638
-0.00000158	-24.5479	-0.001819
-0.00000011	-24.5496	0
0.00000187	-24.562	0.001819
0.00000367	-24.5825	0.003638
0.00000416	-24.5992	0.003638
0.00000359	-24.6089	0.001819
0.00000313	-24.618	0.001819
0.00000295	-24.6276	0
0.00000276	-24.6312	0
0.00000231	-24.6334	0
0.00000126	-24.6369	0
-0.00000071	-24.6383	0
-0.00000254	-24.643	0
-0.00000341	-24.6531	0
-0.00000318	-24.6666	-0.001819
-0.00000134	-24.6841	-0.001819
0.00000083	-24.7031	-0.003638
0.00000152	-24.7199	-0.001819
0.00000128	-24.7352	0
0.00000116	-24.7492	0.001819
0.00000065	-24.7582	0.001819
-0.00000137	-24.7608	0
-0.00000423	-24.7575	0.001819
-0.00000611	-24.7515	0.003638
-0.00000673	-24.7452	0.003638
-0.00000645	-24.7374	0.005457
-0.00000544	-24.7348	0.005457
-0.00000462	-24.7375	0.003638
-0.00000438	-24.7403	0.001819
-0.0000038	-24.7471	0
-0.00000199	-24.7573	0.001819
0.00000063	-24.7628	0.003638
0.00000269	-24.7651	0.003638
0.00000354	-24.7677	0.003638
0.00000332	-24.7722	0.003638
0.0000024	-24.7817	0.005457
0.00000107	-24.7921	0.005457
-0.00000031	-24.7966	0.005457
-0.00000033	-24.7928	0.003638
0.00000116	-24.7853	0.001819
0.00000253	-24.7794	-0.001819
0.00000317	-24.7686	-0.001819
0.00000282	-24.7546	-0.001819
0.00000095	-24.7483	0
-0.00000176	-24.7425	0
-0.00000361	-24.7309	0.001819
-0.00000401	-24.7228	0.003638
-0.00000358	-24.7224	0.003638
-0.00000268	-24.726	0.003638
-0.00000209	-24.7357	0.003638
-0.00000208	-24.7539	0.001819
-0.00000187	-24.7734	-0.001819
-0.00000149	-24.788	-0.001819
-0.00000181	-24.8	-0.001819
-0.0000025	-24.8064	0
-0.00000248	-24.7997	0
-0.00000236	-24.7827	0.001819
-0.00000219	-24.7633	0.003638
-0.00000051	-24.748	0.003638
0.00000226	-24.7373	0.003638
0.00000369	-24.7285	0.003638
0.00000267	-24.7269	0.003638
0.00000039	-24.7361	0.001819
-0.00000185	-24.7515	0.001819
-0.00000331	-24.7677	0.001819
-0.0000034	-24.7815	0
-0.00000282	-24.7896	-0.001819
-0.00000216	-24.7911	-0.001819
-0.00000099	-24.7912	-0.003638
0.00000051	-24.7951	-0.001819
0.00000148	-24.8003	-0.001819
0.00000172	-24.8008	-0.001819
0.00000127	-24.7942	-0.001819
0.00000034	-24.7804	-0.001819
-0.00000052	-24.7676	-0.001819
-0.00000141	-24.7665	-0.001819
-0.00000221	-24.7763	-0.001819
