Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00000075	29.6638	-0.010914
0.0000008	29.2814	-0.010914
0.00000065	28.6459	-0.009095
0.00000051	27.9003	-0.007276
0.00000089	27.1462	-0.005457
0.00000145	26.4495	-0.003638
0.00000176	25.8467	-0.001819
0.00000184	25.3524	-0.001819
0.00000152	24.9676	-0.001819
0.00000095	24.6826	0
0.00000047	24.4835	0
0.00000041	24.3554	0
0.0000008	24.2833	0
0.00000116	24.2527	0.001819
0.00000117	24.2502	0.001819
0.00000098	24.266	0.001819
0.00000075	24.2955	0
0.00000048	24.3337	0
0.00000016	24.3755	0
-0.00000042	24.4162	0.001819
-0.00000125	24.4485	0.001819
-0.00000183	24.4717	0.001819
-0.00000196	24.4916	0.001819
-0.00000177	24.5078	0.001819
-0.00000121	24.5149	0
-0.00000054	24.5143	0
0.00000017	24.5134	0
0.00000079	24.5135	0
0.00000092	24.5141	0
0.00000083	24.515	0
0.00000075	24.5128	0
0.00000009	24.5063	0
-0.00000126	24.4977	0
-0.00000238	24.4895	0.001819
-0.00000278	24.4868	0.003638
-0.0000028	24.4901	0.003638
-0.00000247	24.4936	0.005457
-0.00000166	24.4947	0.003638
-0.00000074	24.4943	0.005457
-0.00000024	24.4916	0.005457
-0.00000019	24.4867	0.005457
-0.00000019	24.4818	0.005457
-0.00000006	24.4785	0.003638
0.00000047	24.4764	0.001819
0.00000123	24.4753	0.001819
0.0000016	24.4739	0
0.00000142	24.4734	0
0.00000059	24.4769	-0.001819
-0.00000068	24.4816	-0.001819
-0.00000192	24.4843	-0.001819
-0.00000291	24.4835	-0.001819
-0.00000338	24.4781	-0.001819
-0.00000341	24.4736	-0.003638
-0.00000328	24.4745	-0.003638
-0.00000291	24.4778	-0.003638
-0.00000246	24.4789	-0.005457
-0.00000208	24.4786	-0.005457
-0.00000169	24.4795	-0.005457
-0.00000128	24.4823	-0.005457
-0.00000077	24.4839	-0.005457
-0.0000002	24.4802	-0.005457
0.00000012	24.4721	-0.003638
0.00000004	24.4663	-0.001819
0.00000008	24.4659	-0.001819
0.00000074	24.4679	-0.003638
0.00000158	24.4713	-0.003638
0.00000233	24.4753	-0.001819
0.00000274	24.4771	0
0.00000239	24.4785	0
0.0000018	24.4829	0.001819
0.00000142	24.4877	0.001819
0.00000137	24.489	0.001819
0.0000016	24.4869	0.001819
0.00000185	24.4804	0.001819
0.00000229	24.4694	0.001819
0.00000277	24.4599	0.001819
0.00000317	24.4564	0.001819
0.00000355	24.4572	0.003638
0.00000384	24.4597	0.003638
0.00000424	24.464	0.005457
0.00000465	24.4693	0.005457
0.0000049	24.4712	0.005457
0.00000513	24.4676	0.005457
0.0000053	24.4584	0.005457
0.00000514	24.4442	0.003638
0.00000435	24.4256	0.003638
0.0000029	24.4046	0.003638
0.00000104	24.3825	0.001819
-0.00000071	24.3582	0.001819
-0.00000178	24.3312	0
-0.00000229	24.3046	0
-0.00000279	24.2825	-0.001819
-0.0000035	24.265	-0.001819
-0.00000441	24.2463	-0.001819
-0.00000573	24.2236	-0.003638
-0.00000694	24.2015	-0.001819
-0.00000719	24.1807	-0.001819
-0.00000684	24.1611	0
-0.00000642	24.1438	0
-0.00000622	24.1272	0
-0.00000627	24.1101	0
-0.00000606	24.0907	0.001819
-0.00000551	24.0703	0.001819
-0.00000497	24.0518	0.003638
