Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00000001	27.2632	-0.020009
0.00000263	26.9062	-0.016371
0.00000547	26.3791	-0.010914
0.00000735	25.8539	-0.005457
0.00000889	25.4187	-0.001819
0.00000969	25.0991	0.001819
0.00000895	24.8847	0.003638
0.00000677	24.7597	0.003638
0.00000376	24.7012	0.001819
0.00000045	24.6818	0.003638
-0.00000267	24.6858	0.003638
-0.00000503	24.7104	0.005457
-0.00000648	24.753	0.003638
-0.00000698	24.7978	0.003638
-0.00000578	24.8272	0.003638
-0.00000309	24.837	0.003638
0.00000006	24.8306	0.003638
0.00000354	24.817	0.003638
0.00000615	24.8065	0.001819
0.00000683	24.8016	0
0.00000607	24.8026	-0.001819
0.00000423	24.8114	-0.001819
0.0000026	24.8203	0
0.00000174	24.8183	0
0.00000064	24.8087	0
-0.00000027	24.7992	0
0.00000011	24.7913	0
0.00000164	24.788	0
0.00000264	24.7921	0
0.0000009	24.7993	0
-0.00000313	24.7998	0
-0.00000587	24.799	0
-0.00000606	24.8095	0
-0.00000479	24.8216	0
-0.00000272	24.8212	0
-0.00000149	24.8143	0
-0.00000218	24.8122	0.001819
-0.00000342	24.8106	0.001819
-0.00000433	24.8049	0.003638
-0.00000502	24.798	0.003638
-0.00000462	24.7893	0.003638
-0.00000313	24.7788	0.001819
-0.00000136	24.7737	0
0.00000025	24.7816	-0.001819
0.00000074	24.7971	-0.001819
-0.00000052	24.8117	-0.001819
-0.00000234	24.8258	-0.001819
-0.00000328	24.8374	-0.001819
-0.00000356	24.8387	-0.001819
-0.00000397	24.8297	0.001819
-0.00000489	24.8169	0.003638
-0.00000594	24.8066	0.005457
-0.00000613	24.8018	0.007276
-0.00000505	24.8028	0.007276
-0.00000278	24.8137	0.007276
0.0000001	24.8278	0.007276
0.0000025	24.8344	0.007276
0.00000392	24.8313	0.007276
0.00000411	24.8214	0.007276
0.00000381	24.812	0.005457
0.00000464	24.8092	0.003638
0.00000619	24.8103	0.001819
0.00000703	24.8085	0
0.00000644	24.8077	0
0.00000478	24.8145	-0.001819
0.0000035	24.8242	-0.001819
0.00000292	24.8315	-0.001819
0.00000291	24.8385	0
0.000004	24.8444	0.001819
0.00000581	24.8441	0.003638
0.00000724	24.8382	0.001819
0.00000719	24.8304	0.001819
0.00000543	24.8227	0.001819
0.00000296	24.8165	0.003638
0.00000117	24.8121	0.005457
0.00000059	24.8094	0.005457
0.00000059	24.8056	0.005457
0.00000008	24.7972	0.005457
-0.00000103	24.7877	0.005457
-0.00000195	24.784	0.005457
-0.00000245	24.7885	0.003638
-0.00000231	24.7989	0.003638
-0.00000139	24.8083	0.003638
-0.00000005	24.8133	0.005457
0.00000174	24.8129	0.005457
0.00000347	24.8099	0.005457
0.00000436	24.8083	0.001819
0.00000456	24.8053	0
0.00000425	24.7997	0
0.00000338	24.7937	0
0.00000234	24.7908	0.001819
0.00000121	24.7947	0.001819
0.00000014	24.8037	0.003638
-0.00000012	24.8071	0.003638
0.0000001	24.7977	0.003638
-0.00000024	24.7878	0.001819
-0.00000106	24.7908	0.001819
-0.00000148	24.8047	0
-0.00000101	24.8218	0
0.00000008	24.8355	0
0.00000075	24.8405	0
0.00000096	24.8379	0
0.00000172	24.8319	0.001819
0.00000256	24.8274	0
0.000002	24.8266	0
0.00000055	24.8256	0
-0.0000008	24.8247	0.001819
-0.00000153	24.8262	0.005457
-0.00000068	24.8265	0.007276
0.00000132	24.824	0.007276
0.00000329	24.818	0.009095
0.00000432	24.8089	0.007276
0.00000408	24.802	0.005457
0.00000297	24.7996	0.003638
0.00000172	24.8045	0.001819
0.00000153	24.8171	0
0.00000219	24.8269	0
0.00000248	24.8291	0
0.00000205	24.8245	0
0.00000138	24.8172	0
0.00000101	24.8145	-0.001819
0.0000008	24.8146	-0.001819
0.00000064	24.8115	-0.001819
0.00000082	24.8049	-0.001819
0.00000124	24.8	-0.001819
0.00000174	24.799	-0.003638
0.00000225	24.8003	-0.003638
0.00000215	24.8024	-0.005457
0.0000013	24.807	-0.005457
0.00000069	24.819	-0.007276
0.00000092	24.8352	-0.007276
0.00000213	24.8416	-0.007276
0.0000041	24.835	-0.005457
0.00000526	24.8274	-0.005457
0.00000429	24.8227	-0.003638
0.00000167	24.8155	-0.001819
-0.00000119	24.8082	0
-0.00000314	24.8022	0.001819
-0.00000391	24.7979	0.001819
-0.00000447	24.7999	0.003638
-0.00000535	24.8023	0.003638
-0.00000567	24.8023	0.003638
-0.00000573	24.8057	0.005457
-0.00000608	24.8125	0.005457
-0.00000525	24.8225	0.005457
-0.00000234	24.8326	0.003638
0.00000123	24.8339	0.003638
0.00000382	24.8282	0.001819
0.00000486	24.8244	0.001819
0.00000472	24.82	0
0.00000356	24.8136	0
0.00000156	24.8118	-0.001819
-0.00000037	24.8127	-0.001819
-0.00000198	24.8147	-0.001819
-0.00000298	24.8218	0.001819
-0.00000264	24.8304	0.001819
-0.00000154	24.8314	0.001819
-0.00000054	24.8236	0.001819
-0.00000021	24.8171	0
-0.00000118	24.817	0
-0.00000236	24.8178	-0.001819
-0.00000264	24.8191	-0.001819
-0.00000252	24.8251	-0.001819
-0.00000274	24.8301	-0.001819
-0.00000334	24.8292	-0.001819
-0.00000356	24.8277	-0.001819
-0.00000273	24.8263	-0.001819
-0.00000099	24.8204	0
0.00000028	24.8131	0
0.00000022	24.8134	0
-0.00000029	24.8198	0
0.00000003	24.8238	0.001819
0.00000114	24.8235	0.001819
0.00000197	24.821	0.003638
0.00000237	24.8201	0.005457
0.00000162	24.8247	0.005457
-0.0000009	24.829	0.007276
-0.00000336	24.8279	0.007276
-0.00000426	24.8289	0.007276
-0.00000366	24.8332	0.005457
-0.00000266	24.8337	0.003638
-0.00000201	24.83	0.001819
-0.00000153	24.827	0
-0.00000141	24.8249	-0.001819
-0.00000214	24.8164	-0.003638
-0.0000031	24.8038	-0.005457
-0.00000347	24.7982	-0.007276
-0.00000388	24.7994	-0.007276
-0.00000347	24.7993	-0.007276
-0.00000105	24.7987	-0.005457
0.00000146	24.8002	-0.005457
0.00000261	24.8025	-0.001819
0.0000025	24.8048	0
0.00000153	24.8043	0.001819
-0.00000028	24.8002	0.001819
-0.00000243	24.7995	0.001819
-0.00000369	24.8029	0.001819
-0.00000458	24.8032	0.001819
-0.00000574	24.8042	0
-0.00000653	24.8147	0
-0.00000623	24.8354	0
-0.00000444	24.8578	-0.001819
-0.00000218	24.8706	-0.001819
-0.00000118	24.8693	0
-0.00000143	24.8586	0
-0.00000138	24.8472	0
-0.00000094	24.8374	0
-0.0000014	24.8252	0.001819
-0.00000241	24.8139	0.005457
-0.00000336	24.805	0.005457
-0.00000419	24.7964	0.005457
-0.00000467	24.7894	0.003638
-0.00000517	24.782	0.001819
-0.00000512	24.7732	0
-0.00000321	24.7653	-0.001819
-0.0000001	24.7638	-0.003638
0.00000238	24.7752	-0.003638
0.00000301	24.7958	-0.003638
0.00000145	24.8155	-0.003638
-0.0000009	24.8268	-0.001819
-0.00000213	24.8296	0
-0.00000278	24.8276	0.001819
-0.00000324	24.8234	0.003638
-0.00000313	24.8212	0.003638
-0.00000339	24.8226	0.005457
-0.00000391	24.8234	0.005457
-0.00000419	24.8237	0.003638
-0.00000542	24.8237	0.003638
-0.00000757	24.8212	0.001819
-0.00000869	24.8225	-0.001819
-0.0000084	24.8325	-0.003638
-0.00000762	24.8428	-0.005457
-0.00000689	24.8425	-0.005457
-0.00000648	24.8343	-0.005457
-0.00000587	24.8259	-0.005457
-0.00000512	24.8187	-0.003638
-0.0000044	24.8134	-0.003638
-0.00000289	24.8124	-0.003638
-0.0000008	24.8184	-0.001819
0.00000092	24.827	0
0.00000108	24.8308	0
-0.00000058	24.8314	-0.001819
-0.00000293	24.8325	-0.001819
-0.00000484	24.8338	-0.001819
-0.00000542	24.8328	-0.001819
-0.00000465	24.8283	-0.001819
-0.00000265	24.8251	-0.001819
-0.00000012	24.8233	-0.003638
0.00000097	24.8225	-0.001819
0.00000035	24.8245	-0.001819
