Rotation	Base moment [kN.m]	Axial Disp. [mm]
-0.00000431	23.836	0.003638
-0.00000567	23.8339	0.005457
-0.00000678	23.8311	0.005457
-0.00000669	23.8354	0.005457
-0.00000578	23.8565	0.003638
-0.00000534	23.8873	0.001819
-0.0000055	23.918	0
-0.00000544	23.9526	0
-0.00000501	23.9929	-0.001819
-0.00000404	24.034	-0.001819
-0.00000333	24.0779	-0.003638
-0.00000421	24.1273	-0.005457
-0.00000635	24.1805	-0.007276
-0.00000811	24.2361	-0.007276
-0.00000864	24.2863	-0.005457
-0.0000083	24.3231	-0.005457
-0.00000834	24.3469	-0.003638
-0.00000867	24.3626	-0.001819
-0.00000796	24.383	0
-0.00000655	24.4116	0
-0.00000609	24.4349	0
-0.00000695	24.4447	0
-0.00000836	24.4413	0
-0.0000101	24.4294	0
-0.00001147	24.4149	0
-0.0000122	24.4041	0
-0.00001292	24.4015	0.001819
-0.00001378	24.4058	0.001819
-0.0000146	24.4107	0.003638
-0.00001458	24.4059	0.003638
-0.0000136	24.3899	0.003638
-0.00001286	24.3686	0.003638
-0.00001355	24.3412	0.001819
-0.00001508	24.3106	0
-0.00001606	24.2811	-0.001819
-0.00001604	24.257	-0.001819
-0.00001528	24.2396	0
-0.00001441	24.2263	0
-0.00001377	24.2195	0.001819
-0.00001324	24.215	0.003638
-0.00001344	24.2053	0.003638
-0.00001509	24.1875	0.003638
-0.000017	24.1595	0.001819
-0.00001766	24.1241	0
-0.00001753	24.0863	-0.001819
-0.00001752	24.0488	-0.005457
-0.00001757	24.0153	-0.007276
-0.00001702	23.9825	-0.007276
-0.00001593	23.9417	-0.007276
-0.00001552	23.9012	-0.005457
-0.00001603	23.8766	0
-0.00001677	23.8665	0.001819
-0.00001825	23.8609	0.003638
-0.0000204	23.8587	0.001819
-0.00002155	23.8586	0
-0.00002126	23.8549	-0.001819
-0.00002062	23.8477	-0.003638
-0.00001957	23.8422	-0.005457
-0.00001809	23.8408	-0.005457
-0.00001757	23.8464	-0.003638
-0.00001804	23.8637	-0.003638
-0.00001861	23.8842	-0.001819
-0.00001984	23.8938	0
-0.00002173	23.8891	0
-0.00002299	23.878	0
-0.00002344	23.8745	-0.001819
-0.0000235	23.8871	-0.003638
-0.00002327	23.9081	-0.005457
-0.00002264	23.9278	-0.009095
-0.00002152	23.9415	-0.010914
-0.00002029	23.943	-0.010914
-0.00001927	23.9355	-0.009095
-0.00001873	23.9315	-0.007276
-0.00001886	23.9321	-0.005457
-0.0000192	23.9305	-0.003638
-0.00001938	23.9303	-0.001819
-0.00001928	23.938	0
-0.00001843	23.9483	0.001819
-0.0000173	23.9514	0.001819
-0.00001739	23.9455	0.001819
-0.00001904	23.9406	0.001819
-0.0000208	23.9415	0.003638
-0.00002148	23.9409	0.001819
-0.00002164	23.9348	0.001819
-0.00002135	23.9271	0.001819
-0.00002011	23.9221	0
