Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00009775	30.0922	0.005457
0.00008236	29.3074	0.005457
0.00005938	28.1343	0.005457
0.00003704	26.9525	0.005457
0.00001872	25.9563	0.005457
0.0000046	25.2199	0.007276
-0.00000483	24.741	0.007276
-0.0000098	24.4736	0.005457
-0.00001065	24.3592	0.001819
-0.00000853	24.3399	0
-0.00000666	24.3705	-0.003638
-0.00000637	24.4238	-0.005457
-0.0000069	24.4846	-0.005457
-0.00000719	24.5438	-0.007276
-0.00000637	24.5901	-0.007276
-0.00000486	24.6176	-0.007276
-0.00000302	24.6356	-0.003638
-0.00000216	24.648	0
-0.00000337	24.6531	0.001819
-0.00000433	24.6513	0.003638
-0.00000527	24.6417	0.001819
-0.0000079	24.6274	0.001819
-0.00000972	24.6152	0.001819
-0.00000942	24.6108	0
-0.00000833	24.6159	-0.001819
-0.00000666	24.6249	-0.001819
-0.00000452	24.6276	-0.003638
-0.00000296	24.6241	-0.003638
-0.0000028	24.6226	-0.003638
-0.00000382	24.6223	-0.003638
-0.00000523	24.6182	-0.003638
-0.00000658	24.6151	-0.001819
-0.00000759	24.6176	0
-0.00000796	24.6251	0.001819
-0.00000787	24.6384	0.001819
-0.00000802	24.6455	0.001819
-0.00000837	24.639	0.001819
-0.00000812	24.6313	0.001819
-0.00000819	24.6265	0.001819
-0.00000924	24.6239	0.001819
-0.00000957	24.6251	0.001819
-0.00000848	24.6283	0.001819
-0.00000719	24.632	0
-0.0000069	24.6306	-0.001819
-0.00000738	24.6269	-0.001819
-0.00000777	24.6295	-0.001819
-0.00000797	24.6348	-0.001819
-0.00000776	24.6361	-0.001819
-0.00000694	24.626	-0.001819
-0.00000624	24.6069	0
-0.0000059	24.5933	0
-0.00000614	24.5847	0
-0.00000733	24.5777	0
-0.00000865	24.5775	0
-0.0000094	24.5785	0.001819
-0.00000944	24.5753	0.003638
-0.00000947	24.5751	0.005457
-0.00001033	24.5786	0.003638
-0.00001118	24.5788	0.001819
-0.00001117	24.5797	-0.001819
-0.00001079	24.5855	-0.007276
-0.00001102	24.5904	-0.010914
-0.00001173	24.5895	-0.012733
-0.00001204	24.5857	-0.014552
-0.00001167	24.5855	-0.01819
-0.00001148	24.585	-0.020009
-0.00001272	24.575	-0.025466
-0.0000147	24.5574	-0.029104
-0.0000161	24.5433	-0.032742
-0.00001642	24.5378	-0.034561
