Rotation	Base moment [kN.m]	Axial Disp. [mm]
0.00018291	29.4552	0.007276
0.000155	28.7201	0.007276
0.00011216	27.6221	0.005457
0.0000683	26.5168	0.003638
0.00003211	25.5851	0.001819
0.00000633	24.8965	0
-0.00000996	24.4513	-0.001819
-0.00001848	24.2118	-0.003638
-0.00002151	24.1223	-0.003638
-0.00002132	24.1247	-0.001819
-0.00001957	24.1785	0
-0.00001767	24.2523	0
-0.00001605	24.317	0.001819
-0.00001395	24.3619	0.001819
-0.00001128	24.3916	0.001819
-0.00000862	24.4155	0.001819
-0.00000632	24.4349	0.001819
-0.00000514	24.4509	0.001819
-0.00000465	24.474	0.001819
-0.00000419	24.504	0.003638
-0.00000466	24.5325	0.003638
-0.0000056	24.5603	0.005457
-0.00000608	24.5921	0.005457
-0.00000671	24.6255	0.003638
-0.00000832	24.6586	0
-0.00001095	24.6929	-0.001819
-0.00001321	24.7244	-0.005457
-0.00001437	24.7495	-0.005457
-0.00001514	24.7694	-0.007276
-0.0000158	24.7902	-0.007276
-0.00001622	24.8126	-0.009095
-0.00001599	24.8322	-0.007276
-0.00001563	24.847	-0.003638
-0.00001657	24.8546	-0.001819
-0.00001785	24.8595	-0.001819
-0.0000174	24.8693	-0.001819
-0.00001543	24.8776	0
-0.00001376	24.8792	0.001819
-0.00001333	24.8792	0.003638
-0.0000134	24.8808	0.003638
-0.00001309	24.8829	0.003638
-0.00001305	24.8848	0.003638
-0.00001327	24.8909	0.003638
-0.00001288	24.9075	0.001819
-0.00001215	24.9291	0
-0.00001181	24.9428	-0.001819
-0.00001213	24.9433	-0.003638
-0.00001247	24.9346	-0.005457
-0.00001159	24.9272	-0.003638
-0.00000927	24.9264	-0.001819
-0.00000774	24.9267	0
-0.00000875	24.9276	0
-0.00001044	24.9264	0.001819
-0.00001079	24.9176	0.001819
-0.00001045	24.9018	0.001819
-0.00000982	24.8802	0
-0.00000826	24.8548	-0.003638
-0.00000655	24.8248	-0.003638
-0.00000605	24.7905	-0.003638
-0.00000691	24.7595	-0.003638
-0.00000898	24.7399	-0.005457
-0.00001111	24.7295	-0.007276
-0.00001135	24.7303	-0.007276
-0.00001012	24.7484	-0.005457
-0.00000921	24.7793	-0.003638
-0.00000909	24.8274	0
-0.00000947	24.8993	0.001819
-0.00001038	24.9854	0.003638
-0.00001213	25.0692	0.003638
-0.00001495	25.1334	0.005457
-0.00001748	25.1723	0.007276
-0.00001856	25.1896	0.007276
-0.00001897	25.1882	0.005457
-0.00001886	25.1776	0.003638
-0.00001797	25.1662	0.001819
-0.00001712	25.1585	0.001819
-0.0000173	25.1608	0
-0.00001817	25.1702	0
-0.00001849	25.1773	0.001819
-0.00001727	25.1818	0.003638
-0.00001547	25.1912	0.001819
-0.00001443	25.2085	0
-0.00001424	25.2294	-0.001819
-0.00001429	25.2509	-0.001819
-0.00001345	25.2714	-0.001819
-0.00001281	25.2857	-0.001819
-0.00001345	25.2945	-0.001819
-0.00001365	25.3035	0
-0.00001275	25.3136	0.001819
-0.00001215	25.3202	0.003638
-0.00001244	25.3217	0.003638
-0.00001294	25.3248	0.003638
-0.00001283	25.3373	0.001819
-0.00001176	25.3573	0
-0.00001084	25.3779	0
-0.00001091	25.4	0.001819
-0.00001163	25.4305	0.001819
-0.00001291	25.4695	0
-0.00001456	25.5088	-0.001819
-0.00001569	25.5487	-0.001819
-0.00001568	25.5939	0
-0.00001529	25.6388	0
