Time[sec]	Top_Inplane_Disp[mm]
0	2.863979666
0.0996094	2.861295361
0.1992187	2.861774527
0.2988281	2.864641836
0.3984375	2.832212951
0.4980469	2.810160629
0.5976562	2.790383529
0.6972656	2.776794136
0.796875	2.761773998
0.8964844	2.740532858
0.9960937	2.720144344
1.0957031	2.701872028
1.1953125	2.68290448
1.2949219	2.661095001
1.3945312	2.640172374
1.4941406	2.619883744
1.59375	2.602540655
1.6933594	2.581244567
1.7929687	2.560273511
1.8925781	2.545166761
1.9921875	2.523033414
2.0917969	2.504048171
2.1914062	2.484595869
2.2910156	2.463417826
2.390625	2.449058229
2.4902344	2.429549117
2.5898437	2.40487745
2.6894531	2.386643318
2.7890625	2.368650632
2.8886719	2.349098912
2.9882812	2.330283169
3.0878906	2.309246454
3.1875	2.288389485
3.2871094	2.273879945
3.3867187	2.245909534
3.4863281	2.231337829
3.5859375	2.21351767
3.6855469	2.192326589
3.7851562	2.174122725
3.8847656	2.150616841
3.984375	2.131473506
4.0839844	2.118764445
4.1835937	2.097073244
4.2832031	2.073026961
4.3828125	2.053903416
4.4824219	2.035579411
4.5820312	2.019667067
4.6816406	2.000249457
4.78125	1.984132221
4.8808594	1.961100614
4.9804687	1.943489304
5.0800781	1.92443328
5.1796875	1.907684957
5.2792969	1.880321186
5.3789062	1.866772538
5.4785156	1.841523917
5.578125	1.827691565
5.6777344	1.808074419
5.7773437	1.788665541
5.8769531	1.767259906
5.9765625	1.749099814
6.0761719	1.732503646
6.1757812	1.709343749
6.2753906	1.690146397
6.375	1.674907398
6.4746094	1.6536162
6.5742187	1.634409768
6.6738281	1.61464815
6.7734375	1.593135647
6.8730469	1.569151995
6.9726562	1.558050397
7.0722656	1.537169563
7.171875	1.519319601
7.2714844	1.498485217
7.3710937	1.482136897
7.4707031	1.460028114
7.5703125	1.443896093
7.6699219	1.420503831
7.7695312	1.401682151
7.8691406	1.386652701
7.96875	1.365517848
8.0683594	1.345275552
8.1679687	1.331683248
8.2675781	1.305514714
8.3671875	1.290817163
8.4667969	1.270929934
8.5664062	1.251432346
8.6660156	1.228831825
8.765625	1.208818168
8.8652344	1.190405688
