Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[rad]
14.14453125	-0.001352213	6.70E-06
14.24414063	0.000697849	6.30E-05
14.34375	-0.001230776	3.00E-05
14.44335938	0.001738544	6.70E-05
14.54296875	-0.00074171	1.02E-05
14.64257813	0.003296002	3.01E-05
14.7421875	-0.002289349	5.90E-06
14.84179688	0.000374476	1.17E-05
14.94140625	-0.000752072	1.80E-05
15.04101563	-0.001018286	3.94E-05
15.140625	0.001007576	6.50E-06
15.24023438	0.000776022	1.84E-05
15.33984375	-0.00268011	6.00E-06
15.43945313	0.000267334	3.20E-05
15.5390625	-0.000636063	6.60E-06
15.63867188	0.005534936	6.31E-05
15.73828125	0.001302782	4.05E-05
15.83789063	0.000115602	2.23E-05
15.9375	0.0009233	4.03E-05
16.03710938	-0.002859621	6.00E-06
16.13671875	0.001257916	3.78E-05
16.23632813	-0.002410299	4.02E-05
16.3359375	0.003512899	2.32E-05
16.43554688	-0.002409821	1.85E-05
16.53515625	0.002120235	4.05E-05
16.63476563	-0.002158744	3.86E-05
16.734375	-0.005848944	3.77E-05
16.83398438	-0.001449449	6.40E-06
16.93359375	-0.001267957	1.94E-05
17.03320313	-0.002863469	2.03E-05
17.1328125	0.002869864	6.07E-05
17.23242188	0.000174918	1.98E-05
17.33203125	0.001543157	6.00E-06
17.43164063	-0.00038447	-1.80E-05
17.53125	0.000637944	9.00E-06
17.63085938	-0.001362401	5.70E-06
17.73046875	-0.002451178	7.30E-06
17.83007813	-0.003406756	3.94E-05
17.9296875	0.002494311	3.58E-05
18.02929688	0.002023852	1.90E-05
18.12890625	-0.001346611	1.00E-05
18.22851563	-0.003713656	4.80E-05
18.328125	0.002703709	5.80E-06
18.42773438	-0.001143407	4.57E-05
18.52734375	-0.001669201	2.84E-05
18.62695313	0.000903103	5.64E-05
18.7265625	0.00036778	3.92E-05
18.82617188	0.001309835	5.10E-06
18.92578125	0.001811223	4.82E-05
19.02539063	-0.00231287	5.60E-06
19.125	-0.00041539	8.00E-07
19.22460938	0.00054462	1.91E-05
19.32421875	0.000452903	3.98E-05
19.42382813	0.000800204	6.25E-05
19.5234375	0.002458126	1.63E-05
19.62304688	-1.56E-05	1.38E-05
19.72265625	0.00478267	3.60E-05
19.82226563	-0.000969288	5.92E-05
19.921875	0.002053439	1.49E-05
20.02148438	-0.000113754	1.71E-05
20.12109375	0.00107059	3.92E-05
20.22070313	0.001003747	8.90E-06
20.3203125	0.002441582	3.90E-05
20.41992188	-0.000666132	5.50E-06
20.51953125	0.0019887	1.46E-05
