Time[sec]	Top_Inplane_Disp[mm]	Top_Outofplane_Disp[mm]	Top_Inplane_Rotation[rad]
10.359375	-0.000897365	-0.0002086	7.61E-08
10.45898438	-0.00625101	0.003993349	6.15E-08
10.55859375	-0.004872003	0.003413718	1.81E-07
10.65820313	-0.003683058	0.002575362	-1.48E-07
10.7578125	0.001186068	0.004004869	4.70E-07
10.85742188	-0.000742609	-0.001015333	1.88E-07
10.95703125	-0.000587698	-8.71E-05	-5.08E-08
11.05664063	0.002839434	0.005291699	1.70E-07
11.15625	-0.001334908	0.005543349	4.24E-07
11.25585938	-0.001409437	0.00165333	9.38E-08
11.35546875	-0.000752495	0.001907315	2.74E-07
11.45507813	0.001154404	-0.000621263	-1.37E-07
11.5546875	-0.004312875	-0.003649173	1.89E-07
11.65429688	0.001037354	0.00195862	1.83E-07
11.75390625	-0.003826394	-0.000921381	-1.35E-07
11.85351563	-0.002477407	-0.004875945	-4.66E-08
11.953125	-7.86E-06	0.000398884	-1.52E-07
12.05273438	-0.005426025	0.00132707	1.79E-07
12.15234375	-0.003360822	0.001017648	-1.18E-07
12.25195313	-0.003879442	-0.001067509	4.02E-07
12.3515625	0.001008576	-0.000908564	7.50E-08
12.45117188	-0.000365489	-0.005225242	-3.46E-07
12.55078125	-0.000944542	0.002081416	-1.52E-07
12.65039063	-0.000431539	-0.000194229	5.15E-07
12.75	7.88E-05	0.002166372	-1.51E-07
12.84960938	-0.003766306	0.0027925	4.11E-07
12.94921875	-0.000467378	-0.000541119	-1.14E-07
13.04882813	-0.0044091	0.004547363	4.60E-07
13.1484375	0.00036754	-0.000199959	8.75E-08
13.24804688	-0.000129899	-0.00192785	4.46E-07
13.34765625	-0.001543727	-0.000723227	8.34E-08
13.44726563	-0.001892647	0.00433376	8.48E-08
13.546875	-0.002177697	-0.000883455	1.63E-07
13.64648438	0.000354485	0.001162186	9.20E-08
13.74609375	0.002035653	-0.003033508	2.65E-07
13.84570313	-0.002800581	-0.000102917	1.40E-07
13.9453125	-0.002766962	0.001724301	2.73E-07
14.04492188	0.000346729	0.00410154	7.99E-08
14.14453125	-0.001883261	0.003110864	8.03E-08
14.24414063	0.000472289	-0.001289138	1.84E-07
14.34375	-0.001376159	0.000923278	4.31E-07
14.44335938	0.002419361	0.001163805	2.20E-07
14.54296875	0.000401533	0.000638924	1.89E-07
14.64257813	-0.000190989	-0.002144333	-1.40E-07
14.7421875	-0.001000135	-0.001344918	2.66E-07
14.84179688	-0.002855966	0.001697927	1.31E-07
14.94140625	0.00081857	0.000662946	-7.47E-08
15.04101563	-0.004304728	0.001902827	4.74E-07
15.140625	-0.00029565	-0.000701922	-2.40E-08
15.24023438	-0.002878161	0.002116456	1.15E-07
15.33984375	-0.002588615	0.001074284	-1.43E-07
15.43945313	0.001828981	-0.000545055	4.83E-07
15.5390625	-0.003121698	-0.000394512	-1.51E-07
15.63867188	4.78E-05	-0.004406297	3.08E-07
15.73828125	-0.001691079	-0.004337364	-2.51E-08
15.83789063	0.003359095	-0.001288132	5.17E-07
15.9375	-0.002221323	-0.000235635	-1.46E-07
16.03710938	0.002067373	0.000934159	3.74E-07
16.13671875	-0.000642508	0.00136335	9.15E-08
16.23632813	-0.001941255	-0.000142669	1.85E-07
16.3359375	-0.004349756	0.000287075	9.13E-08
16.43554688	-0.000131879	-0.003214901	1.84E-07
16.53515625	0.00014499	0.000876211	2.17E-07
16.63476563	-0.003086709	1.82E-05	-6.57E-08
16.734375	-0.004071368	-0.001458696	4.06E-07
16.83398438	0.000961239	-0.000523712	-1.59E-07
16.93359375	-0.002757626	-0.000407877	1.69E-07
17.03320313	-0.001463647	0.000603352	5.17E-08
17.1328125	0.00141369	0.003327613	2.86E-07
17.23242188	-0.003609016	-0.003407003	1.87E-07
17.33203125	-0.002424824	-0.001111266	1.50E-07
17.43164063	-0.001176335	-0.003699041	-2.44E-08
17.53125	-0.003056776	0.001569304	2.92E-07
17.63085938	-0.00160628	0.000119366	-1.56E-07
17.73046875	0.001481327	7.32E-05	6.10E-08
17.83007813	0.001068299	-9.77E-05	4.61E-08
17.9296875	-0.000906449	-0.002423528	5.12E-07
18.02929688	-0.000673928	-0.001330578	1.43E-07
18.12890625	-0.002556786	-0.000292601	1.72E-07
18.22851563	-0.004330509	-0.003893086	-4.12E-08
18.328125	-0.000338132	0.000214177	9.73E-08
18.42773438	0.000733324	-0.001150371	1.77E-07
18.52734375	-0.001085209	0.001198254	-1.52E-07
18.62695313	-0.001601209	-0.003383756	-1.11E-07
18.7265625	-0.002155563	-0.006083224	2.12E-07
18.82617188	-0.004884134	-0.00101019	-8.68E-08
18.92578125	0.00058728	-0.002132007	1.08E-07
19.02539063	-0.002446322	0.001640661	-1.63E-07
19.125	0.001343189	0.003988535	3.72E-07
19.22460938	-0.000817941	-0.004014469	-1.48E-07
19.32421875	-0.004212549	-0.004250393	5.20E-07
19.42382813	-0.002440257	-0.002928844	4.01E-07
19.5234375	-0.004300749	-0.001870301	1.77E-07
19.62304688	-0.00239239	0.003319612	6.43E-08
19.72265625	-0.002699385	-0.001370541	-2.17E-08
19.82226563	-0.006616841	-0.000313273	-1.58E-07
19.921875	-0.000728296	-0.003080545	3.17E-07
20.02148438	0.001881512	-0.001690505	6.38E-08
20.12109375	0.000106487	-0.0015417	4.72E-07
20.22070313	-0.001780014	0.001164778	2.66E-07
20.3203125	-0.001069824	0.001502099	-4.05E-08
20.41992188	-0.001650452	-0.001321875	5.05E-08
20.51953125	0.000115547	-0.002988894	5.31E-08
20.61914063	-0.007406006	-0.001498855	2.91E-07
20.71875	-0.004223765	0.000184998	2.72E-07
