Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[%rad]
0	0.189362545	0
0.099609375	0.185490877	3.28E-05
0.19921875	0.184588847	3.34E-05
0.298828125	0.186375444	3.39E-05
0.3984375	0.183121068	6.41E-05
0.498046875	0.185239565	7.60E-05
0.59765625	0.191778163	6.62E-05
0.697265625	0.188699909	7.76E-05
0.796875	0.187204787	5.68E-05
0.896484375	0.187121361	6.31E-05
0.99609375	0.186137884	6.60E-05
1.095703125	0.187428872	9.10E-05
1.1953125	0.188510414	6.62E-05
1.294921875	0.185451281	2.08E-05
1.39453125	0.18541739	6.61E-05
1.494140625	0.191563115	6.50E-05
1.59375	0.185597935	6.56E-05
1.693359375	0.187769678	2.04E-05
1.79296875	0.188477075	6.29E-05
1.892578125	0.185008437	2.12E-05
1.9921875	0.185075784	3.27E-05
2.091796875	0.191546744	6.66E-05
2.19140625	0.185553959	2.07E-05
2.291015625	0.187022539	3.27E-05
2.390625	0.184006654	2.53E-05
2.490234375	0.189919927	5.29E-05
2.58984375	0.184817356	3.00E-05
2.689453125	0.189283019	6.54E-05
2.7890625	0.189965358	3.21E-05
2.888671875	0.188985272	5.59E-05
2.98828125	0.181741212	3.35E-05
3.087890625	0.187654936	4.51E-05
3.1875	0.184864024	7.01E-05
3.287109375	0.188695936	4.09E-05
3.38671875	0.184281802	4.72E-05
3.486328125	0.184752615	3.67E-05
3.5859375	0.186994686	3.05E-05
3.685546875	0.181952302	3.10E-05
3.78515625	0.190259598	3.55E-05
3.884765625	0.180024421	5.33E-05
3.984375	0.185614947	1.99E-05
4.083984375	0.184925055	3.25E-05
4.18359375	0.183440759	5.84E-05
4.283203125	0.185332727	3.29E-05
4.3828125	0.188636768	5.64E-05
4.482421875	0.188298742	3.29E-05
4.58203125	0.183821772	6.56E-05
4.681640625	0.184105724	6.21E-05
4.78125	0.186699865	4.54E-05
4.880859375	0.180962321	2.03E-05
4.98046875	0.186962367	3.48E-05
5.080078125	0.185767291	5.88E-05
5.1796875	0.182337273	3.17E-05
5.279296875	0.186742982	2.18E-05
5.37890625	0.184093151	5.68E-05
5.478515625	0.181915224	4.31E-05
5.578125	0.182844291	2.91E-05
5.677734375	0.187156867	6.36E-05
5.77734375	0.18601217	3.17E-05
5.876953125	0.185083743	6.56E-05
5.9765625	0.186846999	5.35E-05
6.076171875	0.188233927	6.80E-05
6.17578125	0.184811666	3.22E-05
6.275390625	0.187015306	3.21E-05
6.375	0.187146172	6.49E-05
6.474609375	0.189692699	7.61E-06
6.57421875	0.187004072	3.26E-05
6.673828125	0.188489386	7.68E-06
6.7734375	0.181458076	5.29E-05
6.873046875	0.19063105	7.48E-05
6.97265625	0.187266036	4.56E-05
7.072265625	0.182746444	4.40E-06
7.171875	0.186926758	4.30E-05
7.271484375	0.191453553	4.25E-05
7.37109375	0.187841826	6.50E-05
7.470703125	0.190207822	2.00E-05
7.5703125	0.185168989	6.27E-05
7.669921875	0.185084151	3.72E-05
7.76953125	0.186737263	4.46E-05
7.869140625	0.181369775	2.00E-05
7.96875	0.18671577	3.14E-05
8.068359375	0.183679571	3.19E-05
8.16796875	0.187184341	6.47E-05
8.267578125	0.186546415	3.35E-05
8.3671875	0.188744467	1.93E-05
8.466796875	0.190678926	3.04E-05
8.56640625	0.188660211	5.27E-05
8.666015625	0.187865488	6.47E-05
8.765625	0.185724246	5.58E-05
8.865234375	0.182088028	5.26E-05
8.96484375	0.183590615	4.48E-05
9.064453125	0.187052283	7.67E-05
9.1640625	0.187141603	3.12E-05
9.263671875	0.18314214	-3.01E-05
9.36328125	0.188651829	3.18E-05
9.462890625	0.183006239	9.43E-05
9.5625	0.18595485	3.18E-05
9.662109375	0.187046622	7.70E-05
9.76171875	0.187601428	3.17E-05
9.861328125	0.180742412	3.28E-05
9.9609375	0.187019119	3.43E-05
10.06054688	0.187408907	4.41E-05
10.16015625	0.185017925	3.16E-05
10.25976563	0.183163094	-3.73E-06
10.359375	0.188733917	6.50E-05
10.45898438	0.186977282	3.17E-05
10.55859375	0.186937337	3.26E-05
10.65820313	0.183676966	-1.21E-06
10.7578125	0.189395505	6.49E-05
10.85742188	0.184388453	2.18E-05
10.95703125	0.190022198	4.46E-05
11.05664063	0.188608392	-1.77E-06
11.15625	0.187777536	6.45E-05
11.25585938	0.1856374	5.97E-05
11.35546875	0.18282955	6.48E-05
11.45507813	0.185811106	-1.72E-06
11.5546875	0.18400549	5.44E-05
11.65429688	0.186008008	3.00E-05
11.75390625	0.18440187	4.08E-05
11.85351563	0.184079749	5.12E-05
11.953125	0.185214958	5.23E-05
12.05273438	0.184111937	6.36E-05
12.15234375	0.186518213	3.26E-05
12.25195313	0.187701706	5.74E-05
12.3515625	0.183867407	4.23E-05
12.45117188	0.187487443	6.43E-05
12.55078125	0.186207122	2.17E-06
12.65039063	0.183871918	6.42E-05
12.75	0.184318807	2.25E-05
12.84960938	0.181685231	5.48E-05
12.94921875	0.192170541	2.51E-05
13.04882813	0.186425081	3.14E-05
13.1484375	0.189020604	2.19E-05
13.24804688	0.189008904	3.50E-05
13.34765625	0.189880011	4.43E-05
13.44726563	0.18742161	3.14E-05
13.546875	0.18773129	6.40E-05
13.64648438	0.187720361	5.16E-05
13.74609375	0.184478238	6.46E-05
13.84570313	0.187138663	8.78E-06
13.9453125	0.186971942	1.41E-05
14.04492188	0.188445469	3.07E-05
14.14453125	0.185743425	2.12E-06
14.24414063	0.184006989	3.12E-05
14.34375	0.185386685	3.12E-05
14.44335938	0.185962665	3.12E-05
14.54296875	0.184355245	3.02E-05
14.64257813	0.187604135	5.46E-05
14.7421875	0.182125252	3.47E-05
14.84179688	0.186969017	8.32E-05
14.94140625	0.186622565	3.85E-05
15.04101563	0.187683981	6.39E-05
15.140625	0.186656034	4.21E-05
15.24023438	0.183784257	4.00E-05
15.33984375	0.185608835	3.11E-05
15.43945313	0.187580226	2.78E-05
15.5390625	0.188060978	3.09E-05
15.63867188	0.195371278	6.12E-05
15.73828125	0.185578057	3.10E-05
15.83789063	0.185973724	8.45E-06
15.9375	0.186833262	6.21E-05
16.03710938	0.189671657	-2.28E-06
16.13671875	0.183757409	4.19E-05
16.23632813	0.186211371	5.17E-05
16.3359375	0.183751254	4.50E-05
16.43554688	0.185376004	3.19E-05
16.53515625	0.189405284	3.04E-05
16.63476563	0.188067759	-3.03E-06
16.734375	0.183220633	6.37E-05
16.83398438	0.186197693	5.57E-05
16.93359375	0.185522847	3.09E-05
17.03320313	0.188772305	3.29E-05
17.1328125	0.185333163	3.09E-05
17.23242188	0.182881369	1.04E-05
17.33203125	0.187749494	3.08E-05
17.43164063	0.186244346	4.17E-05
17.53125	0.183125245	1.86E-05
17.63085938	0.187238664	2.98E-05
17.73046875	0.185313824	3.38E-05
17.83007813	0.186550358	3.08E-05
17.9296875	0.187162092	3.02E-05
18.02929688	0.186315679	6.35E-05
18.12890625	0.184051227	3.59E-05
18.22851563	0.190707782	6.35E-05
18.328125	0.185256009	3.96E-07
18.42773438	0.187419922	3.08E-05
18.52734375	0.181421841	5.46E-05
18.62695313	0.187035126	3.01E-05
18.7265625	0.187344791	6.34E-05
18.82617188	0.186131205	3.06E-05
18.92578125	0.186850011	2.91E-05
19.02539063	0.185042285	-1.30E-06
19.125	0.186502657	1.22E-05
19.22460938	0.186227087	3.05E-05
19.32421875	0.186312609	2.63E-05
19.42382813	0.182735253	-2.01E-05
19.5234375	0.182719305	3.05E-05
19.62304688	0.182844131	2.94E-05
19.72265625	0.187605707	8.59E-06
19.82226563	0.183067968	2.31E-05
19.921875	0.187177895	3.05E-05
20.02148438	0.184870107	3.05E-05
20.12109375	0.185789366	5.36E-06
20.22070313	0.185314464	3.05E-05
20.3203125	0.182300981	3.10E-05
20.41992188	0.183701646	2.97E-05
20.51953125	0.184709526	1.73E-05
20.61914063	0.188784208	5.12E-05
20.71875	0.185971527	6.33E-06
20.81835938	0.184904202	4.33E-05
20.91796875	0.185285258	3.35E-05
21.01757813	0.19035743	5.07E-05
21.1171875	0.183255965	3.18E-05
21.21679688	0.185497396	3.03E-05
21.31640625	0.184293312	6.32E-05
21.41601563	0.184860051	9.69E-05
21.515625	0.184226126	7.09E-05
21.61523438	0.18986754	2.97E-05
21.71484375	0.185446144	4.53E-05
21.81445313	0.184866818	5.05E-05
21.9140625	0.187859085	5.00E-05
22.01367188	0.184012359	1.24E-05
22.11328125	0.190379506	3.02E-05
22.21289063	0.185439494	4.74E-05
22.3125	0.182144169	4.99E-05
22.41210938	0.186685051	2.33E-08
22.51171875	0.188676975	3.12E-05
22.61132813	0.188301216	4.21E-05
22.7109375	0.188328515	3.32E-05
22.81054688	0.186122546	4.00E-05
22.91015625	0.187438025	3.01E-05
23.00976563	0.184261837	-1.16E-07
23.109375	0.185083161	4.10E-05
23.20898438	0.187629281	2.94E-05
23.30859375	0.183298805	3.89E-05
23.40820313	0.18467044	5.34E-05
23.5078125	0.189459694	6.03E-06
23.60742188	0.188958278	5.30E-05
23.70703125	0.185105135	7.15E-06
23.80664063	0.184854085	3.00E-05
23.90625	0.187778467	1.68E-05
24.00585938	0.188229184	2.99E-05
24.10546875	0.188645659	2.78E-05
24.20507813	0.184226068	7.20E-05
24.3046875	0.190035702	2.78E-05
24.40429688	0.186358098	-2.93E-06
24.50390625	0.186299701	6.20E-05
24.60351563	0.186658959	2.16E-05
24.703125	0.187958183	2.98E-05
24.80273438	0.186919831	2.97E-05
24.90234375	0.187817801	3.86E-05
25.00195313	0.185304816	2.66E-05
25.1015625	0.183814569	1.93E-05
25.20117188	0.181250332	2.98E-05
25.30078125	0.186598845	4.90E-05
25.40039063	0.192452891	2.97E-05
25.5	0.184572782	9.92E-06
25.59960938	0.183826851	2.92E-05
25.69921875	0.18271232	1.93E-05
25.79882813	0.187738537	4.95E-05
25.8984375	0.185283643	5.17E-06
25.99804688	0.185926692	2.94E-05
26.09765625	0.186889258	8.86E-05
26.19726563	0.184679855	3.01E-05
26.296875	0.19202035	2.01E-05
26.39648438	0.186397796	2.95E-05
26.49609375	0.183486729	7.33E-05
26.59570313	0.186187186	2.95E-05
26.6953125	0.186764155	8.17E-06
