Time[sec]	Top_Inplane_Disp[mm]
47.24609375	4.422181286
47.44628906	4.441953264
47.64648438	4.461828619
47.84667969	4.48557036
48.046875	4.500521347
48.24707031	4.525419325
48.44726563	4.542136099
48.64746094	4.5577446
48.84765625	4.582403693
49.04785156	4.598368891
49.24804688	4.624627065
49.44824219	4.643430933
49.6484375	4.662999883
49.84863281	4.679802805
50.04882813	4.702671431
50.24902344	4.72097192
50.44921875	4.742452875
50.64941406	4.770159256
50.84960938	4.784903489
51.04980469	4.804499447
51.25	4.820368253
51.45019531	4.840767477
51.65039063	4.866154399
51.85058594	4.881640896
52.05078125	4.906719085
52.25097656	4.921628628
52.45117188	4.942891654
52.65136719	4.960203543
52.8515625	4.982247483
53.05175781	5.004481412
53.25195313	5.023465026
53.45214844	5.047376733
53.65234375	5.061699077
53.85253906	5.082927179
54.05273438	5.100055132
54.25292969	5.118554924
54.453125	5.142913666
54.65332031	5.163720809
54.85351563	5.18448418
55.05371094	5.204450339
55.25390625	5.221858155
55.45410156	5.245469045
55.65429688	5.269156769
55.85449219	5.277833436
56.0546875	5.298404023
56.25488281	5.323687568
56.45507813	5.343531258
56.65527344	5.360598676
56.85546875	5.381822586
57.05566406	5.404404365
57.25585938	5.421612412
57.45605469	5.44621842
57.65625	5.462316331
57.85644531	5.479083862
58.05664063	5.50322514
58.25683594	5.52170258
58.45703125	5.542937201
58.65722656	5.560466088
58.85742188	5.588023458
59.05761719	5.60547784
59.2578125	5.625597667
59.45800781	5.644308403
59.65820313	5.664161406
59.85839844	5.684559233
60.05859375	5.706467666
60.25878906	5.723413546
60.45898438	5.745306145
60.65917969	5.763208028
60.859375	5.783531349
61.05957031	5.801877938
61.25976563	5.821765866
61.45996094	5.844260566
61.66015625	5.864842795
61.86035156	5.878918804
62.06054688	5.905366503
62.26074219	5.927193444
62.4609375	5.940624513
62.66113281	5.965520162
62.86132813	5.985753145
63.06152344	5.999694578
63.26171875	6.024034694
63.46191406	6.038809661
63.66210938	6.06438471
63.86230469	6.085744593
64.0625	6.101245992
64.26269531	6.123632658
64.46289063	6.141206715
64.66308594	6.159503944
64.86328125	6.182443351
65.06347656	6.200432777
65.26367188	6.225298624
65.46386719	6.240785122
65.6640625	6.263003219
65.86425781	6.284725387
66.06445313	6.303466391
66.26464844	6.32176362
66.46484375	6.341934204
66.66503906	6.363211665
66.86523438	6.382988766
67.06542969	6.405028049
67.265625	6.426330656
67.46582031	6.445295643
67.66601563	6.46658428
67.86621094	6.480309181
68.06640625	6.504887249
68.26660156	6.527177524
68.46679688	6.539641414
68.66699219	6.560831331
68.8671875	6.585163064
69.06738281	6.604150403
69.26757813	6.623276509
69.46777344	6.647834554
69.66796875	6.665161811
69.86816406	6.683186628
70.06835938	6.705639884
70.26855469	6.726643071
70.46875	6.742757745
70.66894531	6.76293252
70.86914063	6.783579942
71.06933594	6.801954936
71.26953125	6.823115516
71.46972656	6.842204835
71.66992188	6.866567302
71.87011719	6.885239854
72.0703125	6.905989721
72.27050781	6.922231987
72.47070313	6.944740657
72.67089844	6.960208528
72.87109375	6.983570755
73.07128906	7.002174389
73.27148438	7.026095409
73.47167969	7.040041499
73.671875	7.066932973
73.87207031	7.085806224
74.07226563	7.105218247
74.27246094	7.126613986
74.47265625	7.14472495
74.67285156	7.163231261
74.87304688	7.182817906
75.07324219	7.202733308
75.2734375	7.22333882
75.47363281	7.243858185
75.67382813	7.265345193
75.87402344	7.284414489
76.07421875	7.307768799
76.27441406	7.326390129
76.47460938	7.34445313
76.67480469	7.366579492
76.875	7.38623552
77.07519531	7.404902019
77.27539063	7.424023002
77.47558594	7.445170078
77.67578125	7.468783762
77.87597656	7.482806686
78.07617188	7.500928827
78.27636719	7.520728279
78.4765625	7.549099624
78.67675781	7.565178443
78.87695313	7.584634237
79.07714844	7.603135426
79.27734375	7.630447391
79.47753906	7.644999772
79.67773438	7.668275852
79.87792969	7.688064128
80.078125	7.705636788
80.27832031	7.722674403
80.47851563	7.743760943
80.67871094	7.763657719
80.87890625	7.783488836
81.07910156	7.80496886
81.27929688	7.827104069
81.47949219	7.848089561
81.6796875	7.86781311
81.87988281	7.889951579
82.08007813	7.906347513
82.28027344	7.927353494
82.48046875	7.94103276
82.68066406	7.96623528
82.88085938	7.983004674
83.08105469	8.008659817
83.28125	8.025995456
83.48144531	8.047068492
83.68164063	8.068640716
83.88183594	8.088678122
84.08203125	8.105160668
84.28222656	8.124981076
84.48242188	8.146723732
84.68261719	8.16981215
84.8828125	8.183674887
85.08300781	8.204491809
85.28320313	8.229963481
85.48339844	8.24734848
85.68359375	8.260747418
85.88378906	8.287847973
86.08398438	8.305122145
86.28417969	8.322620764
86.484375	8.342352696
86.68457031	8.368362673
86.88476563	8.383983746
87.08496094	8.407318965
87.28515625	8.426923305
87.48535156	8.446668275
87.68554688	8.471222594
87.88574219	8.487924002
88.0859375	8.51207599
88.28613281	8.523451164
88.48632813	8.547864854
88.68652344	8.567349985
88.88671875	8.583426476
89.08691406	8.606249467
89.28710938	8.630847558
89.48730469	8.647226728
89.6875	8.666204289
89.88769531	8.681513369
90.08789063	8.708126843
90.28808594	8.728491142
90.48828125	8.744535968
90.68847656	8.766476065
90.88867188	8.78355559
91.08886719	8.806827478
91.2890625	8.827128448
91.48925781	8.852741681
91.68945313	8.867207915
91.88964844	8.884736337
92.08984375	8.910503238
92.29003906	8.926040493
92.49023438	8.945708163
92.69042969	8.96982383
92.890625	8.985599503
93.09082031	9.005375206
93.29101563	9.031238966
93.49121094	9.04611405
93.69140625	9.068485349
93.89160156	9.083850309
94.09179688	9.108127095
94.29199219	9.126272984
94.4921875	9.144943208
94.69238281	9.166480042
94.89257813	9.188389406
95.09277344	9.20649711
