Time[sec]	Top_Inplane_Disp[mm]	Top_Inplane_Rotation[%rad]
0	2.141541569	0
0.099609375	2.137685195	-9.55E-06
0.19921875	2.136160154	2.20E-05
0.298828125	2.13489728	-2.99E-05
0.3984375	2.138599055	-2.58E-05
0.498046875	2.139456803	-7.28E-05
0.59765625	2.139617456	-9.97E-05
0.697265625	2.143545775	-9.17E-05
0.796875	2.14454066	-6.04E-05
0.896484375	2.142207697	-4.16E-05
0.99609375	2.138087759	-3.56E-05
1.095703125	2.135689603	-2.74E-05
1.1953125	2.136962954	-2.21E-05
1.294921875	2.133763395	-1.29E-05
1.39453125	2.134862822	-4.01E-05
1.494140625	2.133526606	-3.56E-05
1.59375	2.134771086	-2.57E-05
1.693359375	2.137908014	-5.18E-05
1.79296875	2.133200178	-4.38E-05
1.892578125	2.135339659	-5.83E-05
1.9921875	2.134146634	-2.75E-05
2.091796875	2.1354286	-2.93E-05
2.19140625	2.137925941	-3.37E-05
2.291015625	2.139275428	-4.01E-05
2.390625	2.136073774	-6.15E-05
2.490234375	2.132323803	-3.39E-05
2.58984375	2.136844676	-7.58E-05
2.689453125	2.134365262	-1.53E-05
2.7890625	2.13593035	-6.93E-05
2.888671875	2.137891017	-2.73E-05
2.98828125	2.139392775	-4.57E-05
3.087890625	2.136600669	-5.79E-05
3.1875	2.13540392	-4.35E-05
3.287109375	2.134919632	-5.37E-05
3.38671875	2.138439566	-3.67E-05
3.486328125	2.137406496	-2.74E-05
3.5859375	2.136707539	-4.02E-05
3.685546875	2.13861349	-6.61E-05
3.78515625	2.140094759	-2.40E-05
3.884765625	2.138776937	-5.28E-05
3.984375	2.132172231	-1.54E-05
4.083984375	2.136778086	-4.84E-05
4.18359375	2.136859111	-6.44E-05
4.283203125	2.134447917	-2.57E-05
4.3828125	2.135142218	-5.17E-05
4.482421875	2.133497735	-6.79E-05
4.58203125	2.139660297	-6.64E-06
4.681640625	2.133348258	-5.49E-05
4.78125	2.135057002	-3.81E-05
4.880859375	2.136440482	-7.62E-05
4.98046875	2.136857016	-4.66E-05
5.080078125	2.131954301	-2.47E-05
5.1796875	2.13264185	-5.53E-05
5.279296875	2.13269284	-2.43E-05
5.37890625	2.136818133	-5.14E-05
5.478515625	2.132969443	-3.59E-05
5.578125	2.134510083	-4.73E-05
5.677734375	2.14001839	-3.92E-05
5.77734375	2.140195342	-4.45E-05
5.876953125	2.139559714	-3.53E-05
5.9765625	2.133926144	-2.80E-05
6.076171875	2.135477727	-7.33E-05
6.17578125	2.137700561	-4.54E-05
6.275390625	2.13887752	-3.71E-05
6.375	2.137056785	-6.40E-05
6.474609375	2.1405234	-5.56E-05
6.57421875	2.136478666	-4.86E-05
6.673828125	2.133089351	-4.62E-05
6.7734375	2.133796224	-6.54E-05
6.873046875	2.130992943	-3.73E-05
6.97265625	2.134877257	-5.12E-05
7.072265625	2.13692314	-6.47E-05
7.171875	2.138766693	-1.25E-05
7.271484375	2.137030708	-4.12E-05
7.37109375	2.135353861	-2.06E-05
7.470703125	2.134904498	-3.84E-05
7.5703125	2.136002295	-3.69E-05
7.669921875	2.134911017	-1.41E-05
7.76953125	2.133293077	-2.86E-05
7.869140625	2.132918453	-6.73E-05
7.96875	2.137933858	-7.56E-05
8.068359375	2.136044903	-5.81E-05
8.16796875	2.136569005	-4.61E-05
8.267578125	2.135010203	-7.27E-05
8.3671875	2.136115916	-3.68E-05
8.466796875	2.129435772	-3.72E-05
8.56640625	2.135153394	-6.23E-05
8.666015625	2.136473311	-7.22E-05
8.765625	2.136907075	-1.87E-05
8.865234375	2.135061892	-3.97E-05
8.96484375	2.138145035	-3.15E-05
9.064453125	2.138157375	-2.55E-05
9.1640625	2.138879383	-2.70E-05
9.263671875	2.13203067	-4.23E-05
9.36328125	2.134168055	-4.36E-05
9.462890625	2.133237431	-2.33E-05
9.5625	2.134258859	-2.82E-05
9.662109375	2.132010181	-4.54E-05
9.76171875	2.135140589	-4.95E-05
9.861328125	2.135704504	-4.16E-05
9.9609375	2.136720344	-3.29E-05
10.06054688	2.139321063	-7.79E-05
10.16015625	2.13548122	-6.14E-05
10.25976563	2.134194598	-3.54E-05
10.359375	2.13664677	-3.65E-05
10.45898438	2.135040238	-5.81E-05
10.55859375	2.133414382	-3.29E-05
10.65820313	2.13743397	-3.65E-05
10.7578125	2.127113054	-6.02E-05
10.85742188	2.134781098	-2.89E-05
10.95703125	2.13474757	-5.76E-05
11.05664063	2.134939888	1.98E-07
11.15625	2.138119889	-3.54E-05
11.25585938	2.140103839	-2.73E-05
11.35546875	2.13634572	-2.97E-05
11.45507813	2.136293799	-4.11E-05
11.5546875	2.137618838	-6.27E-05
11.65429688	2.139259363	-2.65E-05
11.75390625	2.134922892	-3.91E-05
11.85351563	2.133355476	-4.36E-05
11.953125	2.133090748	-3.66E-05
12.05273438	2.132533584	-6.21E-05
12.15234375	2.139068209	-2.57E-05
12.25195313	2.14012363	-4.55E-05
12.3515625	2.134167589	-2.65E-05
12.45117188	2.135657705	-4.11E-05
12.55078125	2.135251649	-5.81E-05
12.65039063	2.141941804	-6.07E-05
12.75	2.137443051	-3.10E-05
12.84960938	2.137228614	-5.74E-05
12.94921875	2.137365285	-5.73E-05
13.04882813	2.139741089	-5.63E-05
13.1484375	2.140135271	-3.98E-05
13.24804688	2.137769712	-3.84E-05
13.34765625	2.137003466	-6.14E-05
13.44726563	2.135925228	-7.87E-05
13.546875	2.141062869	-4.32E-05
13.64648438	2.138080075	-1.17E-05
13.74609375	2.131433226	-3.36E-05
13.84570313	2.138579264	-5.90E-05
13.9453125	2.134819748	-7.63E-05
14.04492188	2.137901727	-1.29E-05
14.14453125	2.133535221	-2.82E-06
14.24414063	2.134673763	-2.86E-05
14.34375	2.139364369	-5.70E-05
14.44335938	2.135336166	-7.88E-05
14.54296875	2.132226713	-2.69E-05
14.64257813	2.137157135	-7.32E-06
14.7421875	2.13854434	-2.52E-05
14.84179688	2.135652117	-2.96E-05
14.94140625	2.134871436	-4.65E-05
15.04101563	2.136093332	-6.40E-06
15.140625	2.138331998	-1.07E-05
15.24023438	2.132283291	-1.70E-05
15.33984375	2.119190758	2.68E-06
15.43945313	2.104464453	6.15E-05
15.5390625	2.086560708	5.94E-05
15.63867188	2.070254181	5.84E-05
15.73828125	2.057474107	7.91E-05
15.83789063	2.040434629	6.31E-05
15.9375	2.031487878	3.72E-05
16.03710938	2.014646772	6.84E-05
16.13671875	1.99827319	7.49E-05
16.23632813	1.992887119	5.32E-05
16.3359375	1.975625986	6.41E-05
16.43554688	1.964269439	5.00E-05
16.53515625	1.949346508	5.95E-05
16.63476563	1.931747189	7.62E-05
16.734375	1.914750435	2.70E-05
16.83398438	1.901788986	7.57E-05
16.93359375	1.889073872	7.76E-05
17.03320313	1.872003078	8.14E-05
17.1328125	1.86160556	5.59E-05
17.23242188	1.845867489	7.09E-05
17.33203125	1.827013912	7.10E-05
17.43164063	1.812228817	0.000101887
17.53125	1.799964928	3.28E-05
17.63085938	1.787065063	5.38E-05
17.73046875	1.770656207	4.32E-05
17.83007813	1.757935621	3.61E-05
17.9296875	1.743390458	3.50E-05
18.02929688	1.731001073	7.08E-05
18.12890625	1.714311307	8.78E-05
18.22851563	1.703957911	6.92E-05
18.328125	1.685173251	5.75E-05
18.42773438	1.674455008	7.92E-05
18.52734375	1.656864071	4.59E-05
18.62695313	1.645536046	5.84E-05
18.7265625	1.62910379	7.77E-05
18.82617188	1.612197142	6.99E-05
18.92578125	1.602953533	6.75E-05
19.02539063	1.584705198	2.98E-05
19.125	1.575988135	6.10E-05
19.22460938	1.557173091	3.28E-05
19.32421875	1.540343743	6.00E-05
19.42382813	1.52934785	8.17E-05
19.5234375	1.515848096	5.82E-05
19.62304688	1.504045445	7.20E-05
19.72265625	1.488216105	5.70E-05
19.82226563	1.469160896	9.17E-05
19.921875	1.45706383	7.78E-05
20.02148438	1.441412373	0.000105996
20.12109375	1.428933931	5.99E-05
20.22070313	1.4084141	6.04E-05
20.3203125	1.398947323	6.56E-05
20.41992188	1.387434895	7.14E-05
20.51953125	1.371231512	0.000104192
20.61914063	1.358347363	3.30E-05
20.71875	1.342973555	7.57E-05
20.81835938	1.331305248	6.46E-05
20.91796875	1.316564623	5.34E-05
21.01757813	1.2979249	5.18E-05
21.1171875	1.283572172	9.13E-05
21.21679688	1.269440865	7.05E-05
21.31640625	1.255351119	5.71E-05
21.41601563	1.242687693	7.68E-05
21.515625	1.226580818	3.80E-05
21.61523438	1.21140352	3.61E-05
21.71484375	1.200233935	4.16E-05
21.81445313	1.182823908	4.51E-05
21.9140625	1.169929281	7.42E-05
22.01367188	1.152866054	7.20E-05
22.11328125	1.141619752	4.11E-05
22.21289063	1.126458868	4.93E-05
22.3125	1.113410806	6.10E-05
22.41210938	1.1014794	7.92E-05
22.51171875	1.087231329	6.94E-05
22.61132813	1.069648424	5.83E-05
22.7109375	1.055278	4.04E-05
22.81054688	1.042490592	1.62E-05
22.91015625	1.028547063	4.91E-05
23.00976563	1.017082948	4.84E-05
23.109375	1.001363504	4.99E-05
23.20898438	0.982776051	4.86E-05
23.30859375	0.97526965	7.08E-05
23.40820313	0.958194782	4.81E-05
