Rotation	Base moment [kN.m]	Axial Disp. [mm]
-3.767E-08	109.5692394	0
1.55261E-06	61.0828071	-0.00084535
-8.48316E-08	109.5712999	-0.001367414
5.92253E-07	64.26228651	-0.003500376
-1.13869E-06	109.7720348	-0.005353766
-1.95893E-07	109.6807397	-0.007353781
-8.46894E-07	109.6378562	-0.009798794
-4.36542E-07	109.7127667	-0.011625933
-5.323E-08	109.7707458	-0.012713892
-1.06212E-07	109.6984523	-0.014911988
8.02932E-07	76.75487037	-0.01687411
-7.02684E-07	109.8148877	-0.018845371
-5.5817E-07	109.6367804	-0.020557141
8.43765E-07	81.80596583	-0.022814726
3.69328E-07	83.61976902	-0.024979003
5.59073E-08	85.32025554	-0.026665628
-4.30034E-07	109.6688233	-0.028394919
1.26321E-06	88.34437862	-0.030845695
-5.80195E-07	109.9125273	-0.032655429
-2.88895E-07	109.7751591	-0.034402532
-2.80828E-07	109.7096387	-0.036495563
1.3526E-07	94.88390143	-0.038049126
6.01233E-07	96.52642782	-0.040484476
-1.89262E-07	109.7225347	-0.042379659
-1.47399E-06	109.6956707	-0.044060114
-5.33301E-09	109.6945343	-0.046273752
-3.96846E-07	109.7522008	-0.047664915
4.02219E-07	103.9976735	-0.050786708
1.11729E-06	105.5529898	-0.052141899
-5.86527E-07	109.7109829	-0.053853611
-5.73286E-07	109.664779	-0.055795826
3.62817E-07	109.2243769	-0.058111618
9.23301E-07	109.2333167	-0.059363374
1.4268E-07	109.215606	-0.061843661
1.6883E-07	109.0494729	-0.06384775
1.44881E-07	109.0396073	-0.065845088
-8.50918E-08	109.492006	-0.067488872
-8.48151E-07	109.5474853	-0.06984541
1.44057E-06	109.2423837	-0.071546179
1.3936E-07	109.1437878	-0.073847361
-2.59236E-07	109.6126603	-0.075844757
-2.78711E-07	109.6363535	-0.077806646
-1.19342E-07	109.6218853	-0.079844438
8.81344E-07	108.9928632	-0.081846491
2.4974E-07	108.9848244	-0.083861814
1.54403E-07	109.1236555	-0.085845939
